,Character,Label,Pos_count,Pos_prob,Neg_count,Neg_prob,Neut_count,Neut_prob
0,Passepartout,pos,6.0,13.8585416667,1.0,15.1414583333,22.0,22.4291666667
1,PhileasFogg,pos,1.0,10.5216666667,0.0,10.4783333333,20.0,16.9708333333
2,MrFogg,pos,1.0,9.01333333333,0.0,8.98666666667,17.0,15.0666666667
3,Fix,neutral,1.0,7.52833333333,1.0,8.47166666667,14.0,13.25
4,MrsAouda,neutral,0.0,4.99,0.0,5.01,10.0,9.25
5,Fogg,neutral,0.0,4.575,0.0,5.425,10.0,9.05
6,FrancisCromarty,pos,1.0,4.9,0.0,5.1,9.0,9.1
7,Français,neutral,0.0,5.04583333333,0.0,4.95416666667,10.0,9.44416666667
8,AndrewStuart,pos,1.0,5.13666666667,0.0,4.86333333333,9.0,8.68333333333
9,Tankadère,neutral,0.0,4.69083333333,0.0,5.30916666667,10.0,8.73333333333
10,Proctor,pos,1.0,5.1775,0.0,4.8225,9.0,9.0125
11,Banque,pos,3.0,4.46611111111,0.0,5.53388888889,7.0,7.11111111111
12,JohnBunsby,neutral,1.0,4.22529761905,1.0,4.77470238095,7.0,6.3125
13,Indien,neutral,0.0,3.0,0.0,3.0,6.0,6.0
14,VotreHonneur,pos,3.0,3.375,0.0,4.625,5.0,6.0
15,Parsi,neg,0.0,4.73,2.0,4.27,7.0,6.9
16,Stuart,neutral,0.0,3.08375,0.0,2.91625,6.0,4.935
17,Obadiah,neutral,0.0,2.8825,0.0,3.1175,6.0,5.45
18,Mudge,pos,1.0,2.36916666667,0.0,2.63083333333,4.0,4.21666666667
19,Japonais,neutral,0.0,2.62078205128,0.0,3.37921794872,6.0,4.87179487179
20,ThomasFlanagan,neutral,0.0,1.98,0.0,2.02,4.0,3.72
21,JohnSullivan,neutral,0.0,2.095,0.0,2.905,5.0,4.65
22,Batulcar,pos,3.0,1.73291666667,0.0,3.26708333333,2.0,2.11666666667
23,StampWProctor,neutral,0.0,2.0,0.0,2.0,4.0,4.0
24,AndrewSpeedy,neutral,0.0,1.925,0.0,2.075,4.0,3.6
