,Character,Name_score
0,Emma,1.0
1,Charles,-1.0
2,Rodolphe,-1.0
3,Léon,-0.87
4,MHomais,-0.74
5,Lheureux,-1.0
6,Félicité,1.0
7,Justin,-1.0
8,Lefrançois,0.0
9,Rouault,0.0
10,Binet,0.0
11,Hippolyte,0.0
12,MLheureux,-0.74
13,Tuvache,0.0
14,Berthe,1.0
15,MBovary,-0.74
16,Hivert,0.0
17,MLéon,0.0
18,Canivet,0.0
19,Bournisien,0.0
20,Vinçart,0.0
21,Rolet,0.0
22,MCanivet,-0.74
23,Suisse,0.5
24,Napoléon,0.0
25,MGuillaumin,-0.74
26,Lucie,1.0
27,Aveugle,0.0
28,Athalie,1.0
29,MDerozerays,-0.74
30,MBoulanger,-0.74
31,MBinet,-0.74
32,Vicomte,0.0
33,MTuvache,-0.74
34,Artémise,0.0
35,Théodore,0.0
36,Tellier,0.0
37,Lempereur,0.0
38,Lagardy,0.0
