,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Charles,"(médecin, (médecin, 5))",1.0,0.0,count,29.0,constant,exposition
1,Charles,"(médecin, (servante, 2))",-0.00849135445966,1.0,count,29.0,constant,exposition
2,Charles,"(médecin, (bonne, 2))",0.016494403075,2.0,count,29.0,constant,exposition
3,Charles,"(médecin, (représentant, 1))",0.230473647914,3.0,count,29.0,constant,exposition
4,Charles,"(médecin, (quincaillier, 1))",0.0709435622552,4.0,count,29.0,constant,exposition
5,Charles,"(docteur, (médecin, 5))",0.471715596309,0.0,count,29.0,constant,exposition
6,Charles,"(docteur, (servante, 2))",0.0635943153383,1.0,count,29.0,constant,exposition
7,Charles,"(docteur, (bonne, 2))",0.0513683135232,2.0,count,29.0,constant,exposition
8,Charles,"(docteur, (représentant, 1))",0.146258470564,3.0,count,29.0,constant,exposition
9,Charles,"(docteur, (quincaillier, 1))",0.155587864664,4.0,count,29.0,constant,exposition
10,Léon,"(clerc, (pharmacien, 3))",0.0165906693845,0.0,count,11.0,constant,exposition
11,Léon,"(clerc, (clerc, 2))",1.0,1.0,count,11.0,constant,exposition
12,Léon,"(clerc, (médecin, 1))",0.0283299410934,2.0,count,11.0,constant,exposition
13,Léon,"(clerc, (servante, 1))",0.144253385496,3.0,count,11.0,constant,exposition
14,Léon,"(clerc, (apothicaire, 1))",0.141839880246,4.0,count,11.0,constant,exposition
15,Homais,"(pharmacien, (pharmacien, 4))",1.0,0.0,count,11.0,constant,exposition
16,Homais,"(pharmacien, (magistrat, 1))",0.113536419716,1.0,count,11.0,constant,exposition
17,Homais,"(pharmacien, (sacristain, 1))",0.040691377909,2.0,count,11.0,constant,exposition
18,Homais,"(pharmacien, (apothicaire, 1))",0.376857680782,3.0,count,11.0,constant,exposition
19,Homais,"(pharmacien, (maire, 1))",0.108565433502,4.0,count,11.0,constant,exposition
20,Homais,"(apothicaire, (pharmacien, 4))",0.376857680782,0.0,count,11.0,constant,exposition
21,Homais,"(apothicaire, (magistrat, 1))",0.107740592202,1.0,count,11.0,constant,exposition
22,Homais,"(apothicaire, (sacristain, 1))",0.117465948277,2.0,count,11.0,constant,exposition
23,Homais,"(apothicaire, (apothicaire, 1))",1.0,3.0,count,11.0,constant,exposition
24,Homais,"(apothicaire, (maire, 1))",0.0523888365161,4.0,count,11.0,constant,exposition
25,MHomais,"(pharmacien, (pharmacien, 2))",1.0,0.0,count,10.0,constant,exposition
26,MHomais,"(pharmacien, (apothicaire, 2))",0.376857680782,1.0,count,10.0,constant,exposition
27,MHomais,"(pharmacien, (domestique, 2))",0.0635828123567,2.0,count,10.0,constant,exposition
28,MHomais,"(pharmacien, (bonne, 2))",0.0560818160526,3.0,count,10.0,constant,exposition
29,MHomais,"(pharmacien, (médecin, 1))",0.642125232779,4.0,count,10.0,constant,exposition
30,MHomais,"(apothicaire, (pharmacien, 2))",0.376857680782,0.0,count,10.0,constant,exposition
31,MHomais,"(apothicaire, (apothicaire, 2))",1.0,1.0,count,10.0,constant,exposition
32,MHomais,"(apothicaire, (domestique, 2))",0.083994287266,2.0,count,10.0,constant,exposition
33,MHomais,"(apothicaire, (bonne, 2))",0.0616068723901,3.0,count,10.0,constant,exposition
34,MHomais,"(apothicaire, (médecin, 1))",0.257357468666,4.0,count,10.0,constant,exposition
35,Lheureux,"(commerçant, (marchand, 4))",0.348131064534,0.0,count,10.0,constant,exposition
36,Lheureux,"(commerçant, (servante, 1))",0.0383671666208,1.0,count,10.0,constant,exposition
37,Lheureux,"(commerçant, (apothicaire, 1))",0.212272513252,2.0,count,10.0,constant,exposition
38,Lheureux,"(commerçant, (domestique, 1))",0.070247566247,3.0,count,10.0,constant,exposition
39,Lheureux,"(commerçant, (bonne, 1))",0.0266171914228,4.0,count,10.0,constant,exposition
40,Lheureux,"(marchand, (marchand, 4))",1.0,0.0,count,10.0,constant,exposition
41,Lheureux,"(marchand, (servante, 1))",0.104703625642,1.0,count,10.0,constant,exposition
42,Lheureux,"(marchand, (apothicaire, 1))",0.31289527344,2.0,count,10.0,constant,exposition
43,Lheureux,"(marchand, (domestique, 1))",0.120555017169,3.0,count,10.0,constant,exposition
44,Lheureux,"(marchand, (bonne, 1))",0.0690660916641,4.0,count,10.0,constant,exposition
45,Félicité,"(bonne, (médecin, 2))",0.016494403075,0.0,count,10.0,constant,exposition
46,Félicité,"(bonne, (domestique, 2))",0.216823414421,1.0,count,10.0,constant,exposition
47,Félicité,"(bonne, (servante, 2))",0.0185039834998,2.0,count,10.0,constant,exposition
48,Félicité,"(bonne, (bonne, 2))",1.0,3.0,count,10.0,constant,exposition
49,Félicité,"(bonne, (nourrice, 2))",0.0398937751769,4.0,count,10.0,constant,exposition
50,Justin,"(commis, (apothicaire, 3))",0.259660207783,0.0,count,10.0,constant,exposition
51,Justin,"(commis, (domestique, 2))",0.120664913951,1.0,count,10.0,constant,exposition
