,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Charles,"(médecin, (médecin, 18.1439368853))",1.0,0.0,count,29.0,decreasing,exposition
1,Charles,"(médecin, (bonne, 7.66891480791))",0.016494403075,1.0,count,29.0,decreasing,exposition
2,Charles,"(médecin, (servante, 6.97462477008))",-0.00849135445966,2.0,count,29.0,decreasing,exposition
3,Charles,"(médecin, (quincaillier, 4.23559948785))",0.0709435622552,3.0,count,29.0,decreasing,exposition
4,Charles,"(médecin, (correspondant, 4.23559948785))",0.188001560911,4.0,count,29.0,decreasing,exposition
5,Charles,"(docteur, (médecin, 18.1439368853))",0.471715596309,0.0,count,29.0,decreasing,exposition
6,Charles,"(docteur, (bonne, 7.66891480791))",0.0513683135232,1.0,count,29.0,decreasing,exposition
7,Charles,"(docteur, (servante, 6.97462477008))",0.0635943153383,2.0,count,29.0,decreasing,exposition
8,Charles,"(docteur, (quincaillier, 4.23559948785))",0.155587864664,3.0,count,29.0,decreasing,exposition
9,Charles,"(docteur, (correspondant, 4.23559948785))",0.141357230801,4.0,count,29.0,decreasing,exposition
10,Léon,"(clerc, (pharmacien, 4.98788459282))",0.0165906693845,0.0,count,11.0,decreasing,exposition
11,Léon,"(clerc, (clerc, 3.30251855591))",1.0,1.0,count,11.0,decreasing,exposition
12,Léon,"(clerc, (apothicaire, 1.75413518226))",0.141839880246,2.0,count,11.0,decreasing,exposition
13,Léon,"(clerc, (médecin, 1.72524617241))",0.0283299410934,3.0,count,11.0,decreasing,exposition
14,Léon,"(clerc, (notaire, 1.72524617241))",0.236400454506,4.0,count,11.0,decreasing,exposition
15,Homais,"(pharmacien, (pharmacien, 7.06745689019))",1.0,0.0,count,11.0,decreasing,exposition
16,Homais,"(pharmacien, (nourrice, 1.76540534923))",0.0453939899514,1.0,count,11.0,decreasing,exposition
17,Homais,"(pharmacien, (apothicaire, 1.67144346641))",0.376857680782,2.0,count,11.0,decreasing,exposition
18,Homais,"(pharmacien, (domestique, 1.67144346641))",0.0635828123567,3.0,count,11.0,decreasing,exposition
19,Homais,"(pharmacien, (bonne, 1.67144346641))",0.0560818160526,4.0,count,11.0,decreasing,exposition
20,Homais,"(apothicaire, (pharmacien, 7.06745689019))",0.376857680782,0.0,count,11.0,decreasing,exposition
21,Homais,"(apothicaire, (nourrice, 1.76540534923))",0.142657839779,1.0,count,11.0,decreasing,exposition
22,Homais,"(apothicaire, (apothicaire, 1.67144346641))",1.0,2.0,count,11.0,decreasing,exposition
23,Homais,"(apothicaire, (domestique, 1.67144346641))",0.083994287266,3.0,count,11.0,decreasing,exposition
24,Homais,"(apothicaire, (bonne, 1.67144346641))",0.0616068723901,4.0,count,11.0,decreasing,exposition
25,MHomais,"(pharmacien, (pharmacien, 3.51812479479))",1.0,0.0,count,10.0,decreasing,exposition
26,MHomais,"(pharmacien, (apothicaire, 3.34209359681))",0.376857680782,1.0,count,10.0,decreasing,exposition
27,MHomais,"(pharmacien, (domestique, 3.34209359681))",0.0635828123567,2.0,count,10.0,decreasing,exposition
28,MHomais,"(pharmacien, (bonne, 3.34209359681))",0.0560818160526,3.0,count,10.0,decreasing,exposition
29,MHomais,"(pharmacien, (architecte, 1.88177264819))",0.136560595862,4.0,count,10.0,decreasing,exposition
30,MHomais,"(apothicaire, (pharmacien, 3.51812479479))",0.376857680782,0.0,count,10.0,decreasing,exposition
31,MHomais,"(apothicaire, (apothicaire, 3.34209359681))",1.0,1.0,count,10.0,decreasing,exposition
32,MHomais,"(apothicaire, (domestique, 3.34209359681))",0.083994287266,2.0,count,10.0,decreasing,exposition
33,MHomais,"(apothicaire, (bonne, 3.34209359681))",0.0616068723901,3.0,count,10.0,decreasing,exposition
34,MHomais,"(apothicaire, (architecte, 1.88177264819))",0.117196531422,4.0,count,10.0,decreasing,exposition
35,Lheureux,"(commerçant, (marchand, 3.49537068392))",0.348131064534,0.0,count,10.0,decreasing,exposition
36,Lheureux,"(commerçant, (bonne, 1.50243768559))",0.0266171914228,1.0,count,10.0,decreasing,exposition
37,Lheureux,"(commerçant, (apothicaire, 1.12828895553))",0.212272513252,2.0,count,10.0,decreasing,exposition
38,Lheureux,"(commerçant, (domestique, 1.12828895553))",0.070247566247,3.0,count,10.0,decreasing,exposition
39,Lheureux,"(commerçant, (servante, 0.701687198003))",0.0383671666208,4.0,count,10.0,decreasing,exposition
40,Lheureux,"(marchand, (marchand, 3.49537068392))",1.0,0.0,count,10.0,decreasing,exposition
41,Lheureux,"(marchand, (bonne, 1.50243768559))",0.0690660916641,1.0,count,10.0,decreasing,exposition
42,Lheureux,"(marchand, (apothicaire, 1.12828895553))",0.31289527344,2.0,count,10.0,decreasing,exposition
43,Lheureux,"(marchand, (domestique, 1.12828895553))",0.120555017169,3.0,count,10.0,decreasing,exposition
44,Lheureux,"(marchand, (servante, 0.701687198003))",0.104703625642,4.0,count,10.0,decreasing,exposition
45,Félicité,"(bonne, (bonne, 3.60784930364))",1.0,0.0,count,10.0,decreasing,exposition
46,Félicité,"(bonne, (nourrice, 3.21712039719))",0.0398937751769,1.0,count,10.0,decreasing,exposition
47,Félicité,"(bonne, (médecin, 2.76873383841))",0.016494403075,2.0,count,10.0,decreasing,exposition
48,Félicité,"(bonne, (servante, 2.75291451978))",0.0185039834998,3.0,count,10.0,decreasing,exposition
49,Félicité,"(bonne, (domestique, 1.9264859837))",0.216823414421,4.0,count,10.0,decreasing,exposition
50,Justin,"(commis, (apothicaire, 4.71002293194))",0.259660207783,0.0,count,10.0,decreasing,exposition
51,Justin,"(commis, (domestique, 2.88607620953))",0.120664913951,1.0,count,10.0,decreasing,exposition
52,Justin,"(commis, (sacristain, 1.67065013039))",0.0794220921445,2.0,count,10.0,decreasing,exposition
53,Justin,"(commis, (bonne, 1.67065013039))",0.0221724578692,3.0,count,10.0,decreasing,exposition
54,Justin,"(commis, (marchand, 1.67065013039))",0.266237739865,4.0,count,10.0,decreasing,exposition
55,Lefrançois,"(aubergiste, (pharmacien, 5.30685562453))",0.0951450019878,0.0,count,10.0,decreasing,exposition
56,Lefrançois,"(aubergiste, (maîtresse, 1.86718804354))",0.185443776551,1.0,count,10.0,decreasing,exposition
57,Lefrançois,"(aubergiste, (marchand, 1.86718804354))",0.270615667584,2.0,count,10.0,decreasing,exposition
58,Lefrançois,"(aubergiste, (clerc, 1.75932101929))",0.0947376020973,3.0,count,10.0,decreasing,exposition
59,Lefrançois,"(aubergiste, (maître, 1.75932101929))",0.167692557338,4.0,count,10.0,decreasing,exposition
60,Rouault,"(cultivateur, (bonne, 3.33803979269))",0.0367385778399,0.0,count,10.0,decreasing,exposition
61,Rouault,"(cultivateur, (berger, 3.25735088144))",0.150977607081,1.0,count,10.0,decreasing,exposition
62,Rouault,"(cultivateur, (médecin, 3.08672536441))",0.0407494232427,2.0,count,10.0,decreasing,exposition
63,Binet,"(percepteur, (pharmacien, 3.38246044189))",0.0893582495903,0.0,count,10.0,decreasing,exposition
64,Binet,"(percepteur, (colonel, 3.3184078033))",0.0934200686486,1.0,count,10.0,decreasing,exposition
65,Binet,"(percepteur, (clerc, 3.2925598395))",0.149606013468,2.0,count,10.0,decreasing,exposition
66,Binet,"(percepteur, (percepteur, 3.14579405871))",1.0,3.0,count,10.0,decreasing,exposition
67,Binet,"(percepteur, (préfet, 2.23915048095))",0.152436418268,4.0,count,10.0,decreasing,exposition
68,MLheureux,"(commerçant, (marchand, 3.02706935453))",0.348131064534,0.0,count,10.0,decreasing,exposition
69,MLheureux,"(commerçant, (maître, 1.7706501165))",0.0741303005119,1.0,count,10.0,decreasing,exposition
70,MLheureux,"(commerçant, (nourrice, 1.76627756908))",0.0492314253395,2.0,count,10.0,decreasing,exposition
71,MLheureux,"(commerçant, (pharmacien, 1.07182234386))",0.155288888887,3.0,count,10.0,decreasing,exposition
72,MLheureux,"(commerçant, (servante, 0.702590404447))",0.0383671666208,4.0,count,10.0,decreasing,exposition
73,MLheureux,"(marchand, (marchand, 3.02706935453))",1.0,0.0,count,10.0,decreasing,exposition
74,MLheureux,"(marchand, (maître, 1.7706501165))",0.230633877042,1.0,count,10.0,decreasing,exposition
75,MLheureux,"(marchand, (nourrice, 1.76627756908))",0.0707265865222,2.0,count,10.0,decreasing,exposition
76,MLheureux,"(marchand, (pharmacien, 1.07182234386))",0.0828064774782,3.0,count,10.0,decreasing,exposition
77,MLheureux,"(marchand, (servante, 0.702590404447))",0.104703625642,4.0,count,10.0,decreasing,exposition
78,Tuvache,"(maire, (maire, 3.76277145907))",1.0,0.0,count,10.0,decreasing,exposition
79,Tuvache,"(maire, (pharmacien, 3.75021876315))",0.108565433502,1.0,count,10.0,decreasing,exposition
80,Tuvache,"(maire, (cocher, 2.14975441874))",0.0382851827388,2.0,count,10.0,decreasing,exposition
81,Tuvache,"(maire, (conseiller, 2.14975441874))",0.509598656272,3.0,count,10.0,decreasing,exposition
82,Tuvache,"(maire, (médecin, 1.72357253185))",0.108657644877,4.0,count,10.0,decreasing,exposition
83,MBovary,"(médecin, (bonne, 7.1250227438))",0.016494403075,0.0,count,10.0,decreasing,exposition
84,MBovary,"(médecin, (valet, 3.72271413113))",0.091391676778,1.0,count,10.0,decreasing,exposition
85,MBovary,"(médecin, (notaire, 3.18990960064))",0.127650012684,2.0,count,10.0,decreasing,exposition
86,MBovary,"(médecin, (paysanne, 2.80395730676))",0.0228037635369,3.0,count,10.0,decreasing,exposition
87,MBovary,"(médecin, (ménétrier, 2.80395730676))",0.0423731848325,4.0,count,10.0,decreasing,exposition
88,MBovary,"(docteur, (bonne, 7.1250227438))",0.0513683135232,0.0,count,10.0,decreasing,exposition
89,MBovary,"(docteur, (valet, 3.72271413113))",0.100650317181,1.0,count,10.0,decreasing,exposition
90,MBovary,"(docteur, (notaire, 3.18990960064))",0.0661128096308,2.0,count,10.0,decreasing,exposition
91,MBovary,"(docteur, (paysanne, 2.80395730676))",0.0367523363902,3.0,count,10.0,decreasing,exposition
92,MBovary,"(docteur, (ménétrier, 2.80395730676))",0.0934460576863,4.0,count,10.0,decreasing,exposition
93,Hivert,"(cocher, (pharmacien, 1.8348965389))",0.0168184178988,0.0,count,10.0,decreasing,exposition
94,Hivert,"(cocher, (coiffeur, 1.77680398207))",0.0250099897751,1.0,count,10.0,decreasing,exposition
95,Hivert,"(cocher, (modiste, 1.77680398207))",0.0789401609806,2.0,count,10.0,decreasing,exposition
96,Hivert,"(cocher, (maîtresse, 1.77680398207))",0.101146456503,3.0,count,10.0,decreasing,exposition
97,Hivert,"(cocher, (cordonnier, 1.77680398207))",0.0733627613092,4.0,count,10.0,decreasing,exposition
98,MLéon,"(clerc, (pharmacien, 1.63788588923))",0.0165906693845,0.0,count,10.0,decreasing,exposition
99,MLéon,"(clerc, (nourrice, 1.58847464107))",0.0211526359086,1.0,count,10.0,decreasing,exposition
100,MLéon,"(clerc, (apothicaire, 1.52480391784))",0.141839880246,2.0,count,10.0,decreasing,exposition
101,MLéon,"(clerc, (bonne, 1.50377906742))",-0.0016939736408,3.0,count,10.0,decreasing,exposition
102,MLéon,"(clerc, (marchand, 1.50377906742))",0.136178495991,4.0,count,10.0,decreasing,exposition
103,Canivet,"(docteur, (docteur, 1.65131462765))",1.0,0.0,count,10.0,decreasing,exposition
104,Canivet,"(docteur, (maire, 0.747877674775))",0.11259831662,1.0,count,10.0,decreasing,exposition
105,Canivet,"(docteur, (opérateur, 0.747877674775))",0.00963577943007,2.0,count,10.0,decreasing,exposition
