,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Charles,"(médecin, (pharmacien, 22))",0.642125232779,0.0,count,296.0,constant,full
1,Charles,"(médecin, (médecin, 18))",1.0,1.0,count,296.0,constant,full
2,Charles,"(médecin, (bonne, 17))",0.016494403075,2.0,count,296.0,constant,full
3,Charles,"(médecin, (apothicaire, 12))",0.257357468666,3.0,count,296.0,constant,full
4,Charles,"(médecin, (maître, 7))",0.120192413364,4.0,count,296.0,constant,full
5,Charles,"(docteur, (pharmacien, 22))",0.320422793926,0.0,count,296.0,constant,full
6,Charles,"(docteur, (médecin, 18))",0.471715596309,1.0,count,296.0,constant,full
7,Charles,"(docteur, (bonne, 17))",0.0513683135232,2.0,count,296.0,constant,full
8,Charles,"(docteur, (apothicaire, 12))",0.227479996337,3.0,count,296.0,constant,full
9,Charles,"(docteur, (maître, 7))",0.245771869285,4.0,count,296.0,constant,full
10,Léon,"(clerc, (clerc, 13))",1.0,0.0,count,119.0,constant,full
11,Léon,"(clerc, (pharmacien, 11))",0.0165906693845,1.0,count,119.0,constant,full
12,Léon,"(clerc, (médecin, 7))",0.0283299410934,2.0,count,119.0,constant,full
13,Léon,"(clerc, (patron, 5))",0.198293762836,3.0,count,119.0,constant,full
14,Léon,"(clerc, (apothicaire, 5))",0.141839880246,4.0,count,119.0,constant,full
15,Homais,"(pharmacien, (pharmacien, 27))",1.0,0.0,count,115.0,constant,full
16,Homais,"(pharmacien, (apothicaire, 15))",0.376857680782,1.0,count,115.0,constant,full
17,Homais,"(pharmacien, (docteur, 10))",0.320422793926,2.0,count,115.0,constant,full
18,Homais,"(pharmacien, (bonne, 9))",0.0560818160526,3.0,count,115.0,constant,full
19,Homais,"(pharmacien, (clerc, 5))",0.0165906693845,4.0,count,115.0,constant,full
20,Homais,"(apothicaire, (pharmacien, 27))",0.376857680782,0.0,count,115.0,constant,full
21,Homais,"(apothicaire, (apothicaire, 15))",1.0,1.0,count,115.0,constant,full
22,Homais,"(apothicaire, (docteur, 10))",0.227479996337,2.0,count,115.0,constant,full
23,Homais,"(apothicaire, (bonne, 9))",0.0616068723901,3.0,count,115.0,constant,full
24,Homais,"(apothicaire, (clerc, 5))",0.141839880246,4.0,count,115.0,constant,full
25,MHomais,"(pharmacien, (pharmacien, 10))",1.0,0.0,count,41.0,constant,full
26,MHomais,"(pharmacien, (apothicaire, 10))",0.376857680782,1.0,count,41.0,constant,full
27,MHomais,"(pharmacien, (bonne, 6))",0.0560818160526,2.0,count,41.0,constant,full
28,MHomais,"(pharmacien, (médecin, 4))",0.642125232779,3.0,count,41.0,constant,full
29,MHomais,"(pharmacien, (cuisinière, 4))",0.0536241477269,4.0,count,41.0,constant,full
30,MHomais,"(apothicaire, (pharmacien, 10))",0.376857680782,0.0,count,41.0,constant,full
31,MHomais,"(apothicaire, (apothicaire, 10))",1.0,1.0,count,41.0,constant,full
32,MHomais,"(apothicaire, (bonne, 6))",0.0616068723901,2.0,count,41.0,constant,full
33,MHomais,"(apothicaire, (médecin, 4))",0.257357468666,3.0,count,41.0,constant,full
34,MHomais,"(apothicaire, (cuisinière, 4))",0.142181759427,4.0,count,41.0,constant,full
35,Lheureux,"(commerçant, (marchand, 7))",0.348131064534,0.0,count,41.0,constant,full
36,Lheureux,"(commerçant, (domestique, 3))",0.070247566247,1.0,count,41.0,constant,full
37,Lheureux,"(commerçant, (notaire, 2))",0.162374663277,2.0,count,41.0,constant,full
38,Lheureux,"(commerçant, (bonne, 2))",0.0266171914228,3.0,count,41.0,constant,full
39,Lheureux,"(commerçant, (servante, 1))",0.0383671666208,4.0,count,41.0,constant,full
40,Lheureux,"(marchand, (marchand, 7))",1.0,0.0,count,41.0,constant,full
41,Lheureux,"(marchand, (domestique, 3))",0.120555017169,1.0,count,41.0,constant,full
42,Lheureux,"(marchand, (notaire, 2))",0.146743695351,2.0,count,41.0,constant,full
43,Lheureux,"(marchand, (bonne, 2))",0.0690660916641,3.0,count,41.0,constant,full
44,Lheureux,"(marchand, (servante, 1))",0.104703625642,4.0,count,41.0,constant,full
45,Félicité,"(bonne, (domestique, 6))",0.216823414421,0.0,count,39.0,constant,full
46,Félicité,"(bonne, (pharmacien, 6))",0.0560818160526,1.0,count,39.0,constant,full
47,Félicité,"(bonne, (servante, 4))",0.0185039834998,2.0,count,39.0,constant,full
48,Félicité,"(bonne, (apothicaire, 3))",0.0616068723901,3.0,count,39.0,constant,full
49,Félicité,"(bonne, (bonne, 3))",1.0,4.0,count,39.0,constant,full
50,Justin,"(commis, (apothicaire, 8))",0.259660207783,0.0,count,35.0,constant,full
51,Justin,"(commis, (pharmacien, 4))",0.10798006897,1.0,count,35.0,constant,full
52,Justin,"(commis, (docteur, 4))",0.078399241684,2.0,count,35.0,constant,full
53,Justin,"(commis, (domestique, 3))",0.120664913951,3.0,count,35.0,constant,full
54,Justin,"(commis, (garde, 3))",0.202328162051,4.0,count,35.0,constant,full
55,Lefrançois,"(aubergiste, (pharmacien, 12))",0.0951450019878,0.0,count,34.0,constant,full
56,Lefrançois,"(aubergiste, (apothicaire, 5))",0.293792041853,1.0,count,34.0,constant,full
57,Lefrançois,"(aubergiste, (aubergiste, 5))",1.0,2.0,count,34.0,constant,full
58,Lefrançois,"(aubergiste, (percepteur, 3))",0.196550285799,3.0,count,34.0,constant,full
59,Lefrançois,"(aubergiste, (médecin, 2))",0.0910651815748,4.0,count,34.0,constant,full
60,Rouault,"(cultivateur, (bonne, 6))",0.0367385778399,0.0,count,32.0,constant,full
61,Rouault,"(cultivateur, (fermier, 2))",0.343667128051,1.0,count,32.0,constant,full
62,Rouault,"(cultivateur, (mareyeur, 2))",0.142288856821,2.0,count,32.0,constant,full
63,Rouault,"(cultivateur, (médecin, 1))",0.0407494232427,3.0,count,32.0,constant,full
64,Rouault,"(cultivateur, (berger, 1))",0.150977607081,4.0,count,32.0,constant,full
65,Binet,"(percepteur, (pharmacien, 7))",0.0893582495903,0.0,count,28.0,constant,full
66,Binet,"(percepteur, (percepteur, 5))",1.0,1.0,count,28.0,constant,full
67,Binet,"(percepteur, (grenier, 3))",0.117984193004,2.0,count,28.0,constant,full
68,Binet,"(percepteur, (garde, 3))",0.137456301337,3.0,count,28.0,constant,full
69,Binet,"(percepteur, (colonel, 3))",0.0934200686486,4.0,count,28.0,constant,full
70,MLheureux,"(commerçant, (marchand, 7))",0.348131064534,0.0,count,23.0,constant,full
71,MLheureux,"(commerçant, (servante, 2))",0.0383671666208,1.0,count,23.0,constant,full
72,MLheureux,"(commerçant, (pharmacien, 2))",0.155288888887,2.0,count,23.0,constant,full
73,MLheureux,"(commerçant, (médecin, 1))",0.093905012596,3.0,count,23.0,constant,full
74,MLheureux,"(commerçant, (nourrice, 1))",0.0492314253395,4.0,count,23.0,constant,full
75,MLheureux,"(marchand, (marchand, 7))",1.0,0.0,count,23.0,constant,full
