,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Charles,"(médecin, (médecin, 42.0015323457))",1.0,0.0,count,296.0,decreasing,full
1,Charles,"(médecin, (bonne, 30.1906276504))",0.016494403075,1.0,count,296.0,decreasing,full
2,Charles,"(médecin, (pharmacien, 15.2578246964))",0.642125232779,2.0,count,296.0,decreasing,full
3,Charles,"(médecin, (servante, 11.8816150205))",-0.00849135445966,3.0,count,296.0,decreasing,full
4,Charles,"(médecin, (maître, 11.8324298857))",0.120192413364,4.0,count,296.0,decreasing,full
5,Charles,"(docteur, (médecin, 42.0015323457))",0.471715596309,0.0,count,296.0,decreasing,full
6,Charles,"(docteur, (bonne, 30.1906276504))",0.0513683135232,1.0,count,296.0,decreasing,full
7,Charles,"(docteur, (pharmacien, 15.2578246964))",0.320422793926,2.0,count,296.0,decreasing,full
8,Charles,"(docteur, (servante, 11.8816150205))",0.0635943153383,3.0,count,296.0,decreasing,full
9,Charles,"(docteur, (maître, 11.8324298857))",0.245771869285,4.0,count,296.0,decreasing,full
10,Léon,"(clerc, (clerc, 11.4056271623))",1.0,0.0,count,119.0,decreasing,full
11,Léon,"(clerc, (pharmacien, 10.4664966866))",0.0165906693845,1.0,count,119.0,decreasing,full
12,Léon,"(clerc, (médecin, 7.62958862015))",0.0283299410934,2.0,count,119.0,decreasing,full
13,Léon,"(clerc, (notaire, 5.906685119))",0.236400454506,3.0,count,119.0,decreasing,full
14,Léon,"(clerc, (apothicaire, 5.35577543077))",0.141839880246,4.0,count,119.0,decreasing,full
15,Homais,"(pharmacien, (pharmacien, 17.1119946281))",1.0,0.0,count,115.0,decreasing,full
16,Homais,"(pharmacien, (apothicaire, 8.95211003039))",0.376857680782,1.0,count,115.0,decreasing,full
17,Homais,"(pharmacien, (bonne, 8.27452804971))",0.0560818160526,2.0,count,115.0,decreasing,full
18,Homais,"(pharmacien, (clerc, 6.16504068574))",0.0165906693845,3.0,count,115.0,decreasing,full
19,Homais,"(pharmacien, (médecin, 4.85399850721))",0.642125232779,4.0,count,115.0,decreasing,full
20,Homais,"(apothicaire, (pharmacien, 17.1119946281))",0.376857680782,0.0,count,115.0,decreasing,full
21,Homais,"(apothicaire, (apothicaire, 8.95211003039))",1.0,1.0,count,115.0,decreasing,full
22,Homais,"(apothicaire, (bonne, 8.27452804971))",0.0616068723901,2.0,count,115.0,decreasing,full
23,Homais,"(apothicaire, (clerc, 6.16504068574))",0.141839880246,3.0,count,115.0,decreasing,full
24,Homais,"(apothicaire, (médecin, 4.85399850721))",0.257357468666,4.0,count,115.0,decreasing,full
25,MHomais,"(pharmacien, (apothicaire, 6.968696743))",0.376857680782,0.0,count,41.0,decreasing,full
26,MHomais,"(pharmacien, (pharmacien, 6.15048201784))",1.0,1.0,count,41.0,decreasing,full
27,MHomais,"(pharmacien, (bonne, 4.28870467828))",0.0560818160526,2.0,count,41.0,decreasing,full
28,MHomais,"(pharmacien, (domestique, 3.34209359681))",0.0635828123567,3.0,count,41.0,decreasing,full
29,MHomais,"(pharmacien, (cuisinière, 3.07851798055))",0.0536241477269,4.0,count,41.0,decreasing,full
30,MHomais,"(apothicaire, (apothicaire, 6.968696743))",1.0,0.0,count,41.0,decreasing,full
31,MHomais,"(apothicaire, (pharmacien, 6.15048201784))",0.376857680782,1.0,count,41.0,decreasing,full
32,MHomais,"(apothicaire, (bonne, 4.28870467828))",0.0616068723901,2.0,count,41.0,decreasing,full
33,MHomais,"(apothicaire, (domestique, 3.34209359681))",0.083994287266,3.0,count,41.0,decreasing,full
34,MHomais,"(apothicaire, (cuisinière, 3.07851798055))",0.142181759427,4.0,count,41.0,decreasing,full
35,Lheureux,"(commerçant, (marchand, 4.24711075046))",0.348131064534,0.0,count,41.0,decreasing,full
36,Lheureux,"(commerçant, (bonne, 1.86426215855))",0.0266171914228,1.0,count,41.0,decreasing,full
37,Lheureux,"(commerçant, (domestique, 1.39980293022))",0.070247566247,2.0,count,41.0,decreasing,full
38,Lheureux,"(commerçant, (apothicaire, 1.12828895553))",0.212272513252,3.0,count,41.0,decreasing,full
39,Lheureux,"(commerçant, (servante, 0.701687198003))",0.0383671666208,4.0,count,41.0,decreasing,full
40,Lheureux,"(marchand, (marchand, 4.24711075046))",1.0,0.0,count,41.0,decreasing,full
41,Lheureux,"(marchand, (bonne, 1.86426215855))",0.0690660916641,1.0,count,41.0,decreasing,full
42,Lheureux,"(marchand, (domestique, 1.39980293022))",0.120555017169,2.0,count,41.0,decreasing,full
43,Lheureux,"(marchand, (apothicaire, 1.12828895553))",0.31289527344,3.0,count,41.0,decreasing,full
44,Lheureux,"(marchand, (servante, 0.701687198003))",0.104703625642,4.0,count,41.0,decreasing,full
45,Félicité,"(bonne, (bonne, 4.28898477309))",1.0,0.0,count,39.0,decreasing,full
46,Félicité,"(bonne, (domestique, 3.40172744074))",0.216823414421,1.0,count,39.0,decreasing,full
47,Félicité,"(bonne, (nourrice, 3.21712039719))",0.0398937751769,2.0,count,39.0,decreasing,full
48,Félicité,"(bonne, (servante, 3.15545884992))",0.0185039834998,3.0,count,39.0,decreasing,full
49,Félicité,"(bonne, (médecin, 2.76873383841))",0.016494403075,4.0,count,39.0,decreasing,full
50,Justin,"(commis, (apothicaire, 7.81816852513))",0.259660207783,0.0,count,35.0,decreasing,full
51,Justin,"(commis, (domestique, 3.5971361141))",0.120664913951,1.0,count,35.0,decreasing,full
52,Justin,"(commis, (garde, 2.32208947435))",0.202328162051,2.0,count,35.0,decreasing,full
53,Justin,"(commis, (bonne, 1.68734852516))",0.0221724578692,3.0,count,35.0,decreasing,full
54,Justin,"(commis, (sacristain, 1.67065013039))",0.0794220921445,4.0,count,35.0,decreasing,full
55,Lefrançois,"(aubergiste, (pharmacien, 11.5862346013))",0.0951450019878,0.0,count,34.0,decreasing,full
56,Lefrançois,"(aubergiste, (apothicaire, 5.28836612059))",0.293792041853,1.0,count,34.0,decreasing,full
57,Lefrançois,"(aubergiste, (aubergiste, 4.56440740493))",1.0,2.0,count,34.0,decreasing,full
58,Lefrançois,"(aubergiste, (percepteur, 2.43828014644))",0.196550285799,3.0,count,34.0,decreasing,full
59,Lefrançois,"(aubergiste, (maîtresse, 1.9252331963))",0.185443776551,4.0,count,34.0,decreasing,full
60,Rouault,"(cultivateur, (bonne, 10.0635867718))",0.0367385778399,0.0,count,32.0,decreasing,full
61,Rouault,"(cultivateur, (fermier, 5.81809024573))",0.343667128051,1.0,count,32.0,decreasing,full
62,Rouault,"(cultivateur, (mareyeur, 5.50705839086))",0.142288856821,2.0,count,32.0,decreasing,full
63,Rouault,"(cultivateur, (berger, 3.25735088144))",0.150977607081,3.0,count,32.0,decreasing,full
64,Rouault,"(cultivateur, (médecin, 3.08672536441))",0.0407494232427,4.0,count,32.0,decreasing,full
65,Binet,"(percepteur, (pharmacien, 7.9530526609))",0.0893582495903,0.0,count,28.0,decreasing,full
66,Binet,"(percepteur, (percepteur, 4.49873842361))",1.0,1.0,count,28.0,decreasing,full
67,Binet,"(percepteur, (colonel, 3.3184078033))",0.0934200686486,2.0,count,28.0,decreasing,full
68,Binet,"(percepteur, (clerc, 3.2925598395))",0.149606013468,3.0,count,28.0,decreasing,full
69,Binet,"(percepteur, (garde, 3.08396766528))",0.137456301337,4.0,count,28.0,decreasing,full
70,MLheureux,"(commerçant, (marchand, 4.78537098929))",0.348131064534,0.0,count,23.0,decreasing,full
71,MLheureux,"(commerçant, (maître, 1.7706501165))",0.0741303005119,1.0,count,23.0,decreasing,full
72,MLheureux,"(commerçant, (nourrice, 1.76627756908))",0.0492314253395,2.0,count,23.0,decreasing,full
73,MLheureux,"(commerçant, (pharmacien, 1.09582893194))",0.155288888887,3.0,count,23.0,decreasing,full
74,MLheureux,"(commerçant, (servante, 0.931231660205))",0.0383671666208,4.0,count,23.0,decreasing,full
75,MLheureux,"(marchand, (marchand, 4.78537098929))",1.0,0.0,count,23.0,decreasing,full
76,MLheureux,"(marchand, (maître, 1.7706501165))",0.230633877042,1.0,count,23.0,decreasing,full
77,MLheureux,"(marchand, (nourrice, 1.76627756908))",0.0707265865222,2.0,count,23.0,decreasing,full
78,MLheureux,"(marchand, (pharmacien, 1.09582893194))",0.0828064774782,3.0,count,23.0,decreasing,full
79,MLheureux,"(marchand, (servante, 0.931231660205))",0.104703625642,4.0,count,23.0,decreasing,full
80,Tuvache,"(maire, (maire, 4.5100190141))",1.0,0.0,count,22.0,decreasing,full
81,Tuvache,"(maire, (pharmacien, 3.75021876315))",0.108565433502,1.0,count,22.0,decreasing,full
82,Tuvache,"(maire, (cocher, 2.14975441874))",0.0382851827388,2.0,count,22.0,decreasing,full
83,Tuvache,"(maire, (conseiller, 2.14975441874))",0.509598656272,3.0,count,22.0,decreasing,full
84,Tuvache,"(maire, (médecin, 2.02069782819))",0.108657644877,4.0,count,22.0,decreasing,full
85,MBovary,"(médecin, (bonne, 7.1250227438))",0.016494403075,0.0,count,20.0,decreasing,full
86,MBovary,"(médecin, (notaire, 4.49913794274))",0.127650012684,1.0,count,20.0,decreasing,full
87,MBovary,"(médecin, (pharmacien, 3.89888738286))",0.642125232779,2.0,count,20.0,decreasing,full
88,MBovary,"(médecin, (valet, 3.72271413113))",0.091391676778,3.0,count,20.0,decreasing,full
89,MBovary,"(médecin, (clerc, 2.99642267109))",0.0283299410934,4.0,count,20.0,decreasing,full
90,MBovary,"(docteur, (bonne, 7.1250227438))",0.0513683135232,0.0,count,20.0,decreasing,full
91,MBovary,"(docteur, (notaire, 4.49913794274))",0.0661128096308,1.0,count,20.0,decreasing,full
92,MBovary,"(docteur, (pharmacien, 3.89888738286))",0.320422793926,2.0,count,20.0,decreasing,full
93,MBovary,"(docteur, (valet, 3.72271413113))",0.100650317181,3.0,count,20.0,decreasing,full
94,MBovary,"(docteur, (clerc, 2.99642267109))",0.0951123384133,4.0,count,20.0,decreasing,full
95,Hivert,"(cocher, (pharmacien, 1.8348965389))",0.0168184178988,0.0,count,15.0,decreasing,full
96,Hivert,"(cocher, (coiffeur, 1.77680398207))",0.0250099897751,1.0,count,15.0,decreasing,full
97,Hivert,"(cocher, (modiste, 1.77680398207))",0.0789401609806,2.0,count,15.0,decreasing,full
98,Hivert,"(cocher, (maîtresse, 1.77680398207))",0.101146456503,3.0,count,15.0,decreasing,full
99,Hivert,"(cocher, (cordonnier, 1.77680398207))",0.0733627613092,4.0,count,15.0,decreasing,full
100,MLéon,"(clerc, (bonne, 1.85941024775))",-0.0016939736408,0.0,count,14.0,decreasing,full
101,MLéon,"(clerc, (pharmacien, 1.63788588923))",0.0165906693845,1.0,count,14.0,decreasing,full
102,MLéon,"(clerc, (nourrice, 1.58847464107))",0.0211526359086,2.0,count,14.0,decreasing,full
103,MLéon,"(clerc, (apothicaire, 1.52480391784))",0.141839880246,3.0,count,14.0,decreasing,full
104,MLéon,"(clerc, (marchand, 1.50377906742))",0.136178495991,4.0,count,14.0,decreasing,full
105,Canivet,"(docteur, (docteur, 1.73384688052))",1.0,0.0,count,13.0,decreasing,full
106,Canivet,"(docteur, (chirurgien, 0.823187412347))",0.465177167065,1.0,count,13.0,decreasing,full
107,Canivet,"(docteur, (maire, 0.747877674775))",0.11259831662,2.0,count,13.0,decreasing,full
108,Canivet,"(docteur, (opérateur, 0.747877674775))",0.00963577943007,3.0,count,13.0,decreasing,full
109,Canivet,"(docteur, (épicier, 0.747877674775))",0.11259079716,4.0,count,13.0,decreasing,full
110,Canivet,"(chirurgien, (docteur, 1.73384688052))",0.465177167065,0.0,count,13.0,decreasing,full
111,Canivet,"(chirurgien, (chirurgien, 0.823187412347))",1.0,1.0,count,13.0,decreasing,full
112,Canivet,"(chirurgien, (maire, 0.747877674775))",0.0651803802685,2.0,count,13.0,decreasing,full
113,Canivet,"(chirurgien, (opérateur, 0.747877674775))",0.0410706796692,3.0,count,13.0,decreasing,full
114,Canivet,"(chirurgien, (épicier, 0.747877674775))",0.156488442249,4.0,count,13.0,decreasing,full
115,Canivet,"(médecin, (docteur, 1.73384688052))",0.471715596309,0.0,count,13.0,decreasing,full
116,Canivet,"(médecin, (chirurgien, 0.823187412347))",0.592420467888,1.0,count,13.0,decreasing,full
117,Canivet,"(médecin, (maire, 0.747877674775))",0.108657644877,2.0,count,13.0,decreasing,full
118,Canivet,"(médecin, (opérateur, 0.747877674775))",0.0450050130491,3.0,count,13.0,decreasing,full
119,Canivet,"(médecin, (épicier, 0.747877674775))",0.102762864231,4.0,count,13.0,decreasing,full
120,Bournisien,"(prêtre, (servante, 1.62947926731))",0.297315444337,0.0,count,11.0,decreasing,full
121,Bournisien,"(prêtre, (pharmacien, 0.671626595913))",0.0282128221498,1.0,count,11.0,decreasing,full
122,Bournisien,"(prêtre, (général, 0.530359750635))",0.0536304135842,2.0,count,11.0,decreasing,full
123,Bournisien,"(prêtre, (médecin, 0.296723770536))",0.0783481892367,3.0,count,11.0,decreasing,full
124,Bournisien,"(prêtre, (prêtre, 0.0643893453336))",1.0,4.0,count,11.0,decreasing,full
