,Character,Label,Prediction,Score,Title_score,Title_in_name,Adj_score,Pron_score,Art_score,Name_score
0,Emma,f,f,-4.0,0.0140056022409,0.0,0.0140056022409,-0.0560224089636,0.0,1.0
1,Charles,m,m,-2.0,0.00337837837838,0.0,-0.0574324324324,0.0472972972973,0.0,-1.0
2,Rodolphe,m,m,-15.0,0.0,0.0,0.00840336134454,-0.126050420168,0.0,-1.0
3,Léon,m,f,7.13,0.0,0.0,0.0504201680672,0.0168067226891,0.0,-0.87
4,MHomais,m,m,-120.0,0.0243902439024,-1.0,0.0487804878049,-0.0243902439024,0.0,0.0
5,Lheureux,m,m,4.0,-0.0487804878049,0.0,0.0731707317073,0.146341463415,0.0,-1.0
6,Félicité,f,f,3.0,0.0,0.0,0.025641025641,0.025641025641,0.0,1.0
7,Justin,m,m,0.0,0.0,0.0,0.0285714285714,0.0,0.0,-1.0
8,Lefrançois,f,f,66.0,0.941176470588,0.0,0.0294117647059,0.0294117647059,0.0,0.0
9,Rouault,m,m,-45.0,-0.71875,0.0,0.0,0.03125,0.0,0.0
10,Binet,m,m,-4.0,0.0,0.0,-0.0357142857143,-0.107142857143,0.0,0.0
11,Hippolyte,m,m,-2.0,0.0,0.0,-0.04,-0.04,0.0,0.0
12,MLheureux,m,m,-68.0,0.0,-1.0,0.0,0.0434782608696,0.0,0.0
13,Tuvache,m,f,19.0,0.454545454545,0.0,0.0454545454545,-0.0909090909091,0.0,0.0
14,Berthe,f,f,2.0,0.0,0.0,0.0,0.0454545454545,0.0,1.0
15,MBovary,m,m,-61.0,0.0,-1.0,-0.05,0.0,0.0,0.0
16,Hivert,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,MLéon,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Canivet,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Bournisien,m,m,-2.0,-0.0909090909091,0.0,0.0,0.0,0.0,0.0
20,Vinçart,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Rolet,f,f,18.0,0.9,0.0,0.0,0.0,0.0,0.0
22,MCanivet,m,m,-27.0,0.0,-1.0,0.0,0.0,0.0,0.0
23,Suisse,m,f,0.5,0.0,0.0,0.0,0.0,0.0,0.5
24,Napoléon,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,MGuillaumin,m,m,-24.0,0.0,-1.0,0.0,0.0,0.0,0.0
26,Lucie,f,f,3.0,0.0,0.0,0.0,0.0,0.125,1.0
27,Aveugle,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Athalie,f,f,1.0,0.0,0.0,0.0,0.0,0.0,1.0
29,MDerozerays,m,m,-21.0,0.0,-1.0,0.0,0.0,0.0,0.0
30,MBoulanger,m,m,-21.0,0.0,-1.0,0.0,0.0,0.0,0.0
31,MBinet,m,m,-21.0,0.0,-1.0,0.0,0.0,0.0,0.0
32,Vicomte,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,MTuvache,m,m,-18.0,0.0,-1.0,0.0,0.0,0.0,0.0
34,Artémise,f,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Théodore,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tellier,m,m,-6.0,-0.6,0.0,0.0,0.0,0.0,0.0
37,Lempereur,f,f,8.0,0.8,0.0,0.0,0.0,0.0,0.0
38,Lagardy,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
