,Character,Label,Title_score,Title_score_div,Title_in_name,Adj_score,Adj_score_div,Pron_score,Pron_score_div,Mention_count,Book_length,Span,Interaction_count,Char_count
0,Emma,f,2.0,0.00727272727273,0.0,12.0,0.0436363636364,-37.0,-0.134545454545,275.0,6703.0,1724.0,82.0,46.0
1,Charles,m,1.0,0.00444444444444,0.0,-21.0,-0.0933333333333,-9.0,-0.04,225.0,6703.0,3069.0,71.0,46.0
2,Rodolphe,m,0.0,0.0,0.0,-3.0,-0.0315789473684,-9.0,-0.0947368421053,95.0,6703.0,1041.0,24.0,46.0
3,Léon,m,0.0,0.0,0.0,0.0,0.0,3.0,0.031914893617,94.0,6703.0,3589.0,25.0,46.0
4,MHomais,m,0.0,0.0,-26.0,0.0,0.0,-6.0,-0.230769230769,26.0,6703.0,3337.0,15.0,46.0
5,Lheureux,m,-2.0,-0.0666666666667,0.0,-9.0,-0.3,0.0,0.0,30.0,6703.0,1653.0,11.0,46.0
6,Félicité,f,0.0,0.0,0.0,0.0,0.0,3.0,0.166666666667,18.0,6703.0,3025.0,21.0,46.0
7,Justin,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6703.0,581.0,15.0,46.0
8,Lefrançois,f,17.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,6703.0,1121.0,17.0,46.0
9,Rouault,m,-13.0,-0.590909090909,0.0,0.0,0.0,3.0,0.136363636364,22.0,6703.0,124.0,10.0,46.0
10,Binet,m,0.0,0.0,0.0,0.0,0.0,-3.0,-0.125,24.0,6703.0,4602.0,4.0,46.0
11,Hippolyte,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6703.0,61.0,10.0,46.0
12,MLheureux,m,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,11.0,6703.0,390.0,12.0,46.0
13,Tuvache,m,7.0,0.5,0.0,0.0,0.0,0.0,0.0,14.0,6703.0,3235.0,8.0,46.0
14,Berthe,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6703.0,68.0,9.0,46.0
15,MBovary,m,0.0,0.0,-14.0,0.0,0.0,0.0,0.0,14.0,6703.0,1247.0,6.0,46.0
16,Hivert,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6703.0,459.0,5.0,46.0
17,MLéon,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6703.0,42.0,5.0,46.0
18,Canivet,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6703.0,2936.0,6.0,46.0
19,Bournisien,m,-1.0,-0.125,0.0,0.0,0.0,0.0,0.0,8.0,6703.0,831.0,3.0,46.0
20,Vinçart,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6703.0,8.0,4.0,46.0
21,Rolet,f,8.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,6703.0,808.0,2.0,46.0
22,MCanivet,m,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,4.0,6703.0,186.0,5.0,46.0
23,Suisse,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6703.0,72.0,0.0,46.0
24,Napoléon,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6703.0,0.0,7.0,46.0
25,MGuillaumin,m,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,6703.0,0.0,7.0,46.0
26,Lucie,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6703.0,104.0,2.0,46.0
27,Aveugle,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6703.0,5.0,1.0,46.0
28,Athalie,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6703.0,529.0,6.0,46.0
29,MDerozerays,m,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,5.0,6703.0,314.0,2.0,46.0
30,MBoulanger,m,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,5.0,6703.0,116.0,2.0,46.0
31,MBinet,m,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,4.0,6703.0,1047.0,3.0,46.0
32,Vicomte,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6703.0,84.0,3.0,46.0
33,MTuvache,m,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,2.0,6703.0,3718.0,4.0,46.0
34,Artémise,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6703.0,3590.0,3.0,46.0
35,Théodore,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6703.0,923.0,3.0,46.0
36,Tellier,m,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,2.0,6703.0,458.0,3.0,46.0
37,Lempereur,f,2.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,3.0,6703.0,6.0,2.0,46.0
38,Lagardy,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6703.0,154.0,3.0,46.0
