,Character,Label,Prediction,Score,Title_score,Title_in_name,Adj_score,Pron_score,Art_score,Name_score
0,Emma,f,m,-4.0,0.00727272727273,0.0,0.0472727272727,-0.08,0.0,1.0
1,Charles,m,f,10.0,0.00444444444444,0.0,-0.0177777777778,0.0577777777778,0.0,-1.0
2,Rodolphe,m,m,-14.0,0.0,0.0,-0.0105263157895,-0.126315789474,0.0,-1.0
3,Léon,m,f,0.13,0.0,0.0,0.0106382978723,0.0,0.0,-0.87
4,MHomais,m,m,-80.74,0.0,-1.0,0.0,-0.0769230769231,0.0,-0.74
5,Lheureux,m,m,-8.0,-0.0666666666667,0.0,-0.1,0.0,0.0,-1.0
6,Félicité,f,f,3.0,0.0,0.0,0.0,0.111111111111,0.0,1.0
7,Justin,m,m,-3.0,0.0,0.0,-0.05,-0.05,0.0,-1.0
8,Lefrançois,f,f,34.0,1.0,0.0,0.0,0.0,0.0,0.0
9,Rouault,m,m,-26.0,-0.590909090909,0.0,-0.0454545454545,0.0454545454545,0.0,0.0
10,Binet,m,m,-1.0,0.0,0.0,0.0,-0.0416666666667,0.0,0.0
11,Hippolyte,m,m,-1.0,0.0,0.0,-0.0666666666667,0.0,0.0,0.0
12,MLheureux,m,m,-33.74,0.0,-1.0,0.0,0.0,0.0,-0.74
13,Tuvache,m,f,14.0,0.5,0.0,0.0,0.0,0.0,0.0
14,Berthe,f,f,1.0,0.0,0.0,0.0,0.0,0.0,1.0
15,MBovary,m,m,-42.74,0.0,-1.0,0.0,0.0,0.0,-0.74
16,Hivert,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,MLéon,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Canivet,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Bournisien,m,m,-2.0,-0.125,0.0,0.0,0.0,0.0,0.0
20,Vinçart,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Rolet,f,f,16.0,1.0,0.0,0.0,0.0,0.0,0.0
22,MCanivet,m,m,-12.74,0.0,-1.0,0.0,0.0,0.0,-0.74
23,Suisse,m,f,0.5,0.0,0.0,0.0,0.0,0.0,0.5
24,Napoléon,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,MGuillaumin,m,m,-3.74,0.0,-1.0,0.0,0.0,0.0,-0.74
26,Lucie,f,f,4.0,0.0,0.0,0.0,0.0,0.166666666667,1.0
27,Aveugle,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Athalie,f,f,1.0,0.0,0.0,0.0,0.0,0.0,1.0
29,MDerozerays,m,m,-15.74,0.0,-1.0,0.0,0.0,0.0,-0.74
30,MBoulanger,m,m,-15.74,0.0,-1.0,0.0,0.0,0.0,-0.74
31,MBinet,m,m,-12.74,0.0,-1.0,0.0,0.0,0.0,-0.74
32,Vicomte,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,MTuvache,m,m,-6.74,0.0,-1.0,0.0,0.0,0.0,-0.74
34,Artémise,f,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Théodore,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tellier,m,m,-2.0,-0.5,0.0,0.0,0.0,0.0,0.0
37,Lempereur,f,f,4.0,0.666666666667,0.0,0.0,0.0,0.0,0.0
38,Lagardy,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
