,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Charles,"(médecin, (servante, 5.0))",-0.00849135445966,0.0,29.0,constant,exposition
1,Charles,"(docteur, (servante, 5.0))",0.0635943153383,0.0,29.0,constant,exposition
2,Léon,"(clerc, (pharmacien, 5.0))",0.0165906693845,0.0,11.0,constant,exposition
3,Homais,"(pharmacien, (pharmacien, 5.9696969697))",1.0,0.0,11.0,constant,exposition
4,Homais,"(pharmacien, (procureur, 5.54545454545))",0.0879447639141,1.0,11.0,constant,exposition
5,Homais,"(pharmacien, (porteur, 5.18181818182))",0.0511291058902,2.0,11.0,constant,exposition
6,Homais,"(pharmacien, (officier, 5.0))",0.107433309888,3.0,11.0,constant,exposition
7,Homais,"(apothicaire, (pharmacien, 5.9696969697))",0.376857680782,0.0,11.0,constant,exposition
8,Homais,"(apothicaire, (procureur, 5.54545454545))",0.115445981297,1.0,11.0,constant,exposition
9,Homais,"(apothicaire, (porteur, 5.18181818182))",0.0289452698288,2.0,11.0,constant,exposition
10,Homais,"(apothicaire, (officier, 5.0))",0.125097637125,3.0,11.0,constant,exposition
11,MHomais,"(pharmacien, (bonne, 5.05263157895))",0.0560818160526,0.0,10.0,constant,exposition
12,MHomais,"(pharmacien, (domestique, 5.0))",0.0635828123567,1.0,10.0,constant,exposition
13,MHomais,"(apothicaire, (bonne, 5.05263157895))",0.0616068723901,0.0,10.0,constant,exposition
14,MHomais,"(apothicaire, (domestique, 5.0))",0.083994287266,1.0,10.0,constant,exposition
15,Lheureux,"(commerçant, (marchand, 5.42857142857))",0.348131064534,0.0,10.0,constant,exposition
16,Lheureux,"(commerçant, (domestique, 5.0))",0.070247566247,1.0,10.0,constant,exposition
17,Lheureux,"(marchand, (marchand, 5.42857142857))",1.0,0.0,10.0,constant,exposition
18,Lheureux,"(marchand, (domestique, 5.0))",0.120555017169,1.0,10.0,constant,exposition
19,Félicité,"(bonne, (domestique, 5.8))",0.216823414421,0.0,10.0,constant,exposition
20,Félicité,"(bonne, (nourrice, 5.6875))",0.0398937751769,1.0,10.0,constant,exposition
21,Félicité,"(bonne, (bonne, 5.5))",1.0,2.0,10.0,constant,exposition
22,Félicité,"(bonne, (médecin, 5.0625))",0.016494403075,3.0,10.0,constant,exposition
23,Félicité,"(bonne, (pêcheur, 5.0))",0.0434166741052,4.0,10.0,constant,exposition
24,Justin,"(commis, (bonne, 5.98148148148))",0.0221724578692,0.0,10.0,constant,exposition
25,Justin,"(commis, (domestique, 5.82098765432))",0.120664913951,1.0,10.0,constant,exposition
26,Justin,"(commis, (apothicaire, 5.66666666667))",0.259660207783,2.0,10.0,constant,exposition
27,Justin,"(commis, (notaire, 5.0))",0.194114180441,3.0,10.0,constant,exposition
28,Lefrançois,"(aubergiste, (aubergiste, 5.0))",1.0,0.0,10.0,constant,exposition
29,Lefrançois,"(aubergiste, (maîtresse, 5.0))",0.185443776551,1.0,10.0,constant,exposition
30,Binet,"(percepteur, (percepteur, 5.91666666667))",1.0,0.0,10.0,constant,exposition
31,Binet,"(percepteur, (capitaine, 5.875))",0.153698258157,1.0,10.0,constant,exposition
32,Binet,"(percepteur, (maire, 5.25))",0.30118218575,2.0,10.0,constant,exposition
33,Binet,"(percepteur, (garde, 5.0))",0.137456301337,3.0,10.0,constant,exposition
34,MLheureux,"(commerçant, (marchand, 5.94444444444))",0.348131064534,0.0,10.0,constant,exposition
35,MLheureux,"(commerçant, (pharmacien, 3.45833333333))",0.155288888887,1.0,10.0,constant,exposition
36,MLheureux,"(commerçant, (nourrice, 3.45))",0.0492314253395,2.0,10.0,constant,exposition
37,MLheureux,"(commerçant, (maîtresse, 3.23333333333))",0.0282285238824,3.0,10.0,constant,exposition
38,MLheureux,"(commerçant, (cuisinière, 2.9))",0.0514515795631,4.0,10.0,constant,exposition
39,MLheureux,"(marchand, (marchand, 5.94444444444))",1.0,0.0,10.0,constant,exposition
40,MLheureux,"(marchand, (pharmacien, 3.45833333333))",0.0828064774782,1.0,10.0,constant,exposition
41,MLheureux,"(marchand, (nourrice, 3.45))",0.0707265865222,2.0,10.0,constant,exposition
42,MLheureux,"(marchand, (maîtresse, 3.23333333333))",0.118792550942,3.0,10.0,constant,exposition
43,MLheureux,"(marchand, (cuisinière, 2.9))",0.139823578088,4.0,10.0,constant,exposition
44,Tuvache,"(maire, (maire, 5.85294117647))",1.0,0.0,10.0,constant,exposition
45,Tuvache,"(maire, (servante, 5.80392156863))",-0.0316822068965,1.0,10.0,constant,exposition
46,Tuvache,"(maire, (notaire, 5.76470588235))",0.153802478907,2.0,10.0,constant,exposition
47,Tuvache,"(maire, (pharmacien, 5.62352941176))",0.108565433502,3.0,10.0,constant,exposition
48,Tuvache,"(maire, (conseiller, 5.0))",0.509598656272,4.0,10.0,constant,exposition
49,MBovary,"(médecin, (maire, 5.77777777778))",0.108657644877,0.0,10.0,constant,exposition
50,MBovary,"(médecin, (paysanne, 5.2962962963))",0.0228037635369,1.0,10.0,constant,exposition
51,MBovary,"(médecin, (militaire, 5.0))",0.115161193722,2.0,10.0,constant,exposition
52,MBovary,"(docteur, (maire, 5.77777777778))",0.11259831662,0.0,10.0,constant,exposition
53,MBovary,"(docteur, (paysanne, 5.2962962963))",0.0367523363902,1.0,10.0,constant,exposition
54,MBovary,"(docteur, (militaire, 5.0))",0.093818315558,2.0,10.0,constant,exposition
55,Hivert,"(cocher, (cuisinière, 5.0))",0.0659574471444,0.0,10.0,constant,exposition
56,MLéon,"(clerc, (pharmacien, 5.67346938776))",0.0165906693845,0.0,10.0,constant,exposition
57,MLéon,"(clerc, (bonne, 5.08571428571))",-0.0016939736408,1.0,10.0,constant,exposition
58,MLéon,"(clerc, (nourrice, 5.0))",0.0211526359086,2.0,10.0,constant,exposition
59,Canivet,"(docteur, (docteur, 5.5641025641))",1.0,0.0,10.0,constant,exposition
60,Canivet,"(docteur, (pharmacien, 2.50320512821))",0.320422793926,1.0,10.0,constant,exposition
61,Canivet,"(docteur, (apothicaire, 2.17948717949))",0.227479996337,2.0,10.0,constant,exposition
62,Canivet,"(docteur, (général, 2.05128205128))",0.158035225174,3.0,10.0,constant,exposition
63,Canivet,"(docteur, (chirurgien, 1.66666666667))",0.465177167065,4.0,10.0,constant,exposition
64,Canivet,"(chirurgien, (docteur, 5.5641025641))",0.465177167065,0.0,10.0,constant,exposition
65,Canivet,"(chirurgien, (pharmacien, 2.50320512821))",0.363254937896,1.0,10.0,constant,exposition
66,Canivet,"(chirurgien, (apothicaire, 2.17948717949))",0.295342943645,2.0,10.0,constant,exposition
67,Canivet,"(chirurgien, (général, 2.05128205128))",0.0456907450663,3.0,10.0,constant,exposition
68,Canivet,"(chirurgien, (chirurgien, 1.66666666667))",1.0,4.0,10.0,constant,exposition
69,Canivet,"(médecin, (docteur, 5.5641025641))",0.471715596309,0.0,10.0,constant,exposition
70,Canivet,"(médecin, (pharmacien, 2.50320512821))",0.642125232779,1.0,10.0,constant,exposition
71,Canivet,"(médecin, (apothicaire, 2.17948717949))",0.257357468666,2.0,10.0,constant,exposition
72,Canivet,"(médecin, (général, 2.05128205128))",0.0838428100035,3.0,10.0,constant,exposition
73,Canivet,"(médecin, (chirurgien, 1.66666666667))",0.592420467888,4.0,10.0,constant,exposition
74,Bournisien,"(prêtre, (médecin, 5.0))",0.0783481892367,0.0,10.0,constant,exposition
75,Bournisien,"(curé, (médecin, 5.0))",0.0681350718781,0.0,10.0,constant,exposition
76,Vinçart,"(banquier, (marchand, 5.375))",0.211003688542,0.0,10.0,constant,exposition
77,Vinçart,"(banquier, (banquier, 5.0))",1.0,1.0,10.0,constant,exposition
78,MCanivet,"(docteur, (docteur, 5.77391304348))",1.0,0.0,9.0,constant,exposition
79,MCanivet,"(docteur, (pharmacien, 3.40338164251))",0.320422793926,1.0,9.0,constant,exposition
80,MCanivet,"(docteur, (apothicaire, 3.13043478261))",0.227479996337,2.0,9.0,constant,exposition
81,MCanivet,"(docteur, (maître, 3.0652173913))",0.245771869285,3.0,9.0,constant,exposition
82,MCanivet,"(docteur, (aubergiste, 2.5))",0.0576135894313,4.0,9.0,constant,exposition
83,MCanivet,"(chirurgien, (docteur, 5.77391304348))",0.465177167065,0.0,9.0,constant,exposition
84,MCanivet,"(chirurgien, (pharmacien, 3.40338164251))",0.363254937896,1.0,9.0,constant,exposition
85,MCanivet,"(chirurgien, (apothicaire, 3.13043478261))",0.295342943645,2.0,9.0,constant,exposition
86,MCanivet,"(chirurgien, (maître, 3.0652173913))",0.14514804672,3.0,9.0,constant,exposition
87,MCanivet,"(chirurgien, (aubergiste, 2.5))",0.101991086714,4.0,9.0,constant,exposition
88,MCanivet,"(médecin, (docteur, 5.77391304348))",0.471715596309,0.0,9.0,constant,exposition
89,MCanivet,"(médecin, (pharmacien, 3.40338164251))",0.642125232779,1.0,9.0,constant,exposition
90,MCanivet,"(médecin, (apothicaire, 3.13043478261))",0.257357468666,2.0,9.0,constant,exposition
91,MCanivet,"(médecin, (maître, 3.0652173913))",0.120192413364,3.0,9.0,constant,exposition
92,MCanivet,"(médecin, (aubergiste, 2.5))",0.0910651815748,4.0,9.0,constant,exposition
93,MGuillaumin,"(notaire, (domestique, 5.0))",0.0395792991493,0.0,8.0,constant,exposition
94,MGuillaumin,"(notaire, (maître, 2.5))",0.196361107601,1.0,8.0,constant,exposition
95,MBinet,"(percepteur, (grenier, 5.91666666667))",0.117984193004,0.0,7.0,constant,exposition
96,MBinet,"(percepteur, (domestique, 5.89))",0.124500357693,1.0,7.0,constant,exposition
97,MBinet,"(percepteur, (notaire, 5.6))",0.216385965515,2.0,7.0,constant,exposition
98,MBinet,"(percepteur, (médecin, 5.46))",0.0817018829501,3.0,7.0,constant,exposition
99,MBinet,"(percepteur, (percepteur, 5.2))",1.0,4.0,7.0,constant,exposition
100,MTuvache,"(maire, (maire, 5.66666666667))",1.0,0.0,6.0,constant,exposition
101,MTuvache,"(maire, (préfet, 2.5))",0.411422468297,1.0,6.0,constant,exposition
102,Artémise,"(servante, (servante, 5.89285714286))",1.0,0.0,6.0,constant,exposition
103,Artémise,"(servante, (apothicaire, 5.775))",0.150441301111,1.0,6.0,constant,exposition
104,Artémise,"(servante, (aubergiste, 5.25))",0.165643146305,2.0,6.0,constant,exposition
105,Artémise,"(servante, (maire, 5.0))",-0.0316822068965,3.0,6.0,constant,exposition
106,Lagardy,"(ténor, (ténor, 5.40909090909))",1.0,0.0,5.0,constant,exposition
107,Lagardy,"(ténor, (pharmacien, 5.0))",0.0781520464093,1.0,5.0,constant,exposition
