,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Charles,"(médecin, (servante, 5.0))",-0.00849135445966,0.0,29.0,decreasing,exposition
1,Charles,"(docteur, (servante, 5.0))",0.0635943153383,0.0,29.0,decreasing,exposition
2,Léon,"(clerc, (pharmacien, 5.0))",0.0165906693845,0.0,11.0,decreasing,exposition
3,Homais,"(pharmacien, (pharmacien, 5.94407415936))",1.0,0.0,11.0,decreasing,exposition
4,Homais,"(pharmacien, (procureur, 0.963885445541))",0.0879447639141,1.0,11.0,decreasing,exposition
5,Homais,"(pharmacien, (porteur, 0.600249081905))",0.0511291058902,2.0,11.0,decreasing,exposition
6,Homais,"(pharmacien, (officier, 0.198737161054))",0.107433309888,3.0,11.0,decreasing,exposition
7,Homais,"(apothicaire, (pharmacien, 5.94407415936))",0.376857680782,0.0,11.0,decreasing,exposition
8,Homais,"(apothicaire, (procureur, 0.963885445541))",0.115445981297,1.0,11.0,decreasing,exposition
9,Homais,"(apothicaire, (porteur, 0.600249081905))",0.0289452698288,2.0,11.0,decreasing,exposition
10,Homais,"(apothicaire, (officier, 0.198737161054))",0.125097637125,3.0,11.0,decreasing,exposition
11,MHomais,"(pharmacien, (bonne, 5.455669683))",0.0560818160526,0.0,10.0,decreasing,exposition
12,MHomais,"(pharmacien, (domestique, 5.0))",0.0635828123567,1.0,10.0,decreasing,exposition
13,MHomais,"(apothicaire, (bonne, 5.455669683))",0.0616068723901,0.0,10.0,decreasing,exposition
14,MHomais,"(apothicaire, (domestique, 5.0))",0.083994287266,1.0,10.0,decreasing,exposition
15,Lheureux,"(commerçant, (marchand, 5.64328359979))",0.348131064534,0.0,10.0,decreasing,exposition
16,Lheureux,"(commerçant, (domestique, 2.15338279037))",0.070247566247,1.0,10.0,decreasing,exposition
17,Lheureux,"(marchand, (marchand, 5.64328359979))",1.0,0.0,10.0,decreasing,exposition
18,Lheureux,"(marchand, (domestique, 2.15338279037))",0.120555017169,1.0,10.0,decreasing,exposition
19,Félicité,"(bonne, (bonne, 5.01502335321))",1.0,0.0,10.0,decreasing,exposition
20,Félicité,"(bonne, (nourrice, 4.18235002168))",0.0398937751769,1.0,10.0,decreasing,exposition
21,Félicité,"(bonne, (médecin, 2.05220004336))",0.016494403075,2.0,10.0,decreasing,exposition
22,Félicité,"(bonne, (pêcheur, 1.10924374808))",0.0434166741052,3.0,10.0,decreasing,exposition
23,Félicité,"(bonne, (domestique, 1.0))",0.216823414421,4.0,10.0,decreasing,exposition
24,Justin,"(commis, (bonne, 5.97063906689))",0.0221724578692,0.0,10.0,decreasing,exposition
25,Justin,"(commis, (domestique, 5.38683075153))",0.120664913951,1.0,10.0,decreasing,exposition
26,Justin,"(commis, (apothicaire, 4.17110277069))",0.259660207783,2.0,10.0,decreasing,exposition
27,Justin,"(commis, (notaire, 1.98970004336))",0.194114180441,3.0,10.0,decreasing,exposition
28,Lefrançois,"(aubergiste, (maîtresse, 5.0))",0.185443776551,0.0,10.0,decreasing,exposition
29,Lefrançois,"(aubergiste, (aubergiste, 0.0))",1.0,1.0,10.0,decreasing,exposition
30,Binet,"(percepteur, (maire, 5.25))",0.30118218575,0.0,10.0,decreasing,exposition
31,Binet,"(percepteur, (percepteur, 2.86296455844))",1.0,1.0,10.0,decreasing,exposition
32,Binet,"(percepteur, (capitaine, 2.09264601317))",0.153698258157,2.0,10.0,decreasing,exposition
33,Binet,"(percepteur, (garde, 1.21764601317))",0.137456301337,3.0,10.0,decreasing,exposition
34,MLheureux,"(commerçant, (marchand, 5.95568363714))",0.348131064534,0.0,10.0,decreasing,exposition
35,MLheureux,"(commerçant, (maître, 4.32937181963))",0.0741303005119,1.0,10.0,decreasing,exposition
36,MLheureux,"(commerçant, (nourrice, 3.97610103954))",0.0492314253395,2.0,10.0,decreasing,exposition
37,MLheureux,"(commerçant, (pharmacien, 1.94115434165))",0.155288888887,3.0,10.0,decreasing,exposition
38,MLheureux,"(commerçant, (maîtresse, 1.0))",0.0282285238824,4.0,10.0,decreasing,exposition
39,MLheureux,"(marchand, (marchand, 5.95568363714))",1.0,0.0,10.0,decreasing,exposition
40,MLheureux,"(marchand, (maître, 4.32937181963))",0.230633877042,1.0,10.0,decreasing,exposition
41,MLheureux,"(marchand, (nourrice, 3.97610103954))",0.0707265865222,2.0,10.0,decreasing,exposition
42,MLheureux,"(marchand, (pharmacien, 1.94115434165))",0.0828064774782,3.0,10.0,decreasing,exposition
43,MLheureux,"(marchand, (maîtresse, 1.0))",0.118792550942,4.0,10.0,decreasing,exposition
44,Tuvache,"(maire, (notaire, 5.66337022163))",0.153802478907,0.0,10.0,decreasing,exposition
45,Tuvache,"(maire, (servante, 4.3304730235))",-0.0316822068965,1.0,10.0,decreasing,exposition
46,Tuvache,"(maire, (maire, 4.30743317745))",1.0,2.0,10.0,decreasing,exposition
47,Tuvache,"(maire, (conseiller, 2.6143937264))",0.509598656272,3.0,10.0,decreasing,exposition
48,Tuvache,"(maire, (pharmacien, 1.91378606412))",0.108565433502,4.0,10.0,decreasing,exposition
49,MBovary,"(médecin, (paysanne, 5.34134552201))",0.0228037635369,0.0,10.0,decreasing,exposition
50,MBovary,"(médecin, (militaire, 5.0))",0.115161193722,1.0,10.0,decreasing,exposition
51,MBovary,"(médecin, (maire, 4.07399043036))",0.108657644877,2.0,10.0,decreasing,exposition
52,MBovary,"(docteur, (paysanne, 5.34134552201))",0.0367523363902,0.0,10.0,decreasing,exposition
53,MBovary,"(docteur, (militaire, 5.0))",0.093818315558,1.0,10.0,decreasing,exposition
54,MBovary,"(docteur, (maire, 4.07399043036))",0.11259831662,2.0,10.0,decreasing,exposition
55,Hivert,"(cocher, (cuisinière, 5.0))",0.0659574471444,0.0,10.0,decreasing,exposition
56,MLéon,"(clerc, (pharmacien, 5.0))",0.0165906693845,0.0,10.0,decreasing,exposition
57,MLéon,"(clerc, (nourrice, 2.2388144994))",0.0211526359086,1.0,10.0,decreasing,exposition
58,MLéon,"(clerc, (bonne, 1.53670278173))",-0.0016939736408,2.0,10.0,decreasing,exposition
59,Canivet,"(docteur, (docteur, 5.81564970335))",1.0,0.0,10.0,decreasing,exposition
60,Canivet,"(docteur, (apothicaire, 2.29415635913))",0.227479996337,1.0,10.0,decreasing,exposition
61,Canivet,"(docteur, (général, 2.0682340523))",0.158035225174,2.0,10.0,decreasing,exposition
62,Canivet,"(docteur, (chirurgien, 1.68361866769))",0.465177167065,3.0,10.0,decreasing,exposition
63,Canivet,"(docteur, (pharmacien, 1.6169185672))",0.320422793926,4.0,10.0,decreasing,exposition
64,Canivet,"(chirurgien, (docteur, 5.81564970335))",0.465177167065,0.0,10.0,decreasing,exposition
65,Canivet,"(chirurgien, (apothicaire, 2.29415635913))",0.295342943645,1.0,10.0,decreasing,exposition
66,Canivet,"(chirurgien, (général, 2.0682340523))",0.0456907450663,2.0,10.0,decreasing,exposition
67,Canivet,"(chirurgien, (chirurgien, 1.68361866769))",1.0,3.0,10.0,decreasing,exposition
68,Canivet,"(chirurgien, (pharmacien, 1.6169185672))",0.363254937896,4.0,10.0,decreasing,exposition
69,Canivet,"(médecin, (docteur, 5.81564970335))",0.471715596309,0.0,10.0,decreasing,exposition
70,Canivet,"(médecin, (apothicaire, 2.29415635913))",0.257357468666,1.0,10.0,decreasing,exposition
71,Canivet,"(médecin, (général, 2.0682340523))",0.0838428100035,2.0,10.0,decreasing,exposition
72,Canivet,"(médecin, (chirurgien, 1.68361866769))",0.592420467888,3.0,10.0,decreasing,exposition
