,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Charles,"(médecin, (pharmacien, 5.8776106934))",0.642125232779,0.0,296.0,constant,full
1,Charles,"(médecin, (médecin, 4.90893630179))",1.0,1.0,296.0,constant,full
2,Charles,"(médecin, (bonne, 4.64361872695))",0.016494403075,2.0,296.0,constant,full
3,Charles,"(médecin, (apothicaire, 3.51911976912))",0.257357468666,3.0,296.0,constant,full
4,Charles,"(médecin, (clerc, 2.52892874321))",0.0283299410934,4.0,296.0,constant,full
5,Charles,"(docteur, (pharmacien, 5.8776106934))",0.320422793926,0.0,296.0,constant,full
6,Charles,"(docteur, (médecin, 4.90893630179))",0.471715596309,1.0,296.0,constant,full
7,Charles,"(docteur, (bonne, 4.64361872695))",0.0513683135232,2.0,296.0,constant,full
8,Charles,"(docteur, (apothicaire, 3.51911976912))",0.227479996337,3.0,296.0,constant,full
9,Charles,"(docteur, (clerc, 2.52892874321))",0.0951123384133,4.0,296.0,constant,full
10,Léon,"(clerc, (clerc, 5.89709302326))",1.0,0.0,119.0,constant,full
11,Léon,"(clerc, (pharmacien, 5.18660667498))",0.0165906693845,1.0,119.0,constant,full
12,Léon,"(clerc, (médecin, 3.65024930537))",0.0283299410934,2.0,119.0,constant,full
13,Léon,"(clerc, (apothicaire, 2.89982110912))",0.141839880246,3.0,119.0,constant,full
14,Léon,"(clerc, (bonne, 2.89625521765))",-0.0016939736408,4.0,119.0,constant,full
15,Homais,"(pharmacien, (pharmacien, 5.82765409662))",1.0,0.0,115.0,constant,full
16,Homais,"(pharmacien, (apothicaire, 3.61174310822))",0.376857680782,1.0,115.0,constant,full
17,Homais,"(pharmacien, (docteur, 2.63102690215))",0.320422793926,2.0,115.0,constant,full
18,Homais,"(pharmacien, (bonne, 2.567358956))",0.0560818160526,3.0,115.0,constant,full
19,Homais,"(pharmacien, (clerc, 1.84830464267))",0.0165906693845,4.0,115.0,constant,full
20,Homais,"(apothicaire, (pharmacien, 5.82765409662))",0.376857680782,0.0,115.0,constant,full
21,Homais,"(apothicaire, (apothicaire, 3.61174310822))",1.0,1.0,115.0,constant,full
22,Homais,"(apothicaire, (docteur, 2.63102690215))",0.227479996337,2.0,115.0,constant,full
23,Homais,"(apothicaire, (bonne, 2.567358956))",0.0616068723901,3.0,115.0,constant,full
24,Homais,"(apothicaire, (clerc, 1.84830464267))",0.141839880246,4.0,115.0,constant,full
25,MHomais,"(pharmacien, (pharmacien, 5.97145631068))",1.0,0.0,41.0,constant,full
26,MHomais,"(pharmacien, (apothicaire, 5.92870967742))",0.376857680782,1.0,41.0,constant,full
27,MHomais,"(pharmacien, (bonne, 3.94692307692))",0.0560818160526,2.0,41.0,constant,full
28,MHomais,"(pharmacien, (médecin, 2.96636363636))",0.642125232779,3.0,41.0,constant,full
29,MHomais,"(pharmacien, (cuisinière, 2.90692307692))",0.0536241477269,4.0,41.0,constant,full
30,MHomais,"(apothicaire, (pharmacien, 5.97145631068))",0.376857680782,0.0,41.0,constant,full
31,MHomais,"(apothicaire, (apothicaire, 5.92870967742))",1.0,1.0,41.0,constant,full
32,MHomais,"(apothicaire, (bonne, 3.94692307692))",0.0616068723901,2.0,41.0,constant,full
33,MHomais,"(apothicaire, (médecin, 2.96636363636))",0.257357468666,3.0,41.0,constant,full
34,MHomais,"(apothicaire, (cuisinière, 2.90692307692))",0.142181759427,4.0,41.0,constant,full
35,Lheureux,"(commerçant, (marchand, 5.0))",0.348131064534,0.0,41.0,constant,full
36,Lheureux,"(commerçant, (domestique, 2.87125220459))",0.070247566247,1.0,41.0,constant,full
37,Lheureux,"(commerçant, (bonne, 2.36265103056))",0.0266171914228,2.0,41.0,constant,full
38,Lheureux,"(commerçant, (notaire, 2.14425770308))",0.162374663277,3.0,41.0,constant,full
39,Lheureux,"(commerçant, (apothicaire, 1.65476190476))",0.212272513252,4.0,41.0,constant,full
40,Lheureux,"(marchand, (marchand, 5.0))",1.0,0.0,41.0,constant,full
41,Lheureux,"(marchand, (domestique, 2.87125220459))",0.120555017169,1.0,41.0,constant,full
42,Lheureux,"(marchand, (bonne, 2.36265103056))",0.0690660916641,2.0,41.0,constant,full
43,Lheureux,"(marchand, (notaire, 2.14425770308))",0.146743695351,3.0,41.0,constant,full
44,Lheureux,"(marchand, (apothicaire, 1.65476190476))",0.31289527344,4.0,41.0,constant,full
45,Félicité,"(bonne, (pharmacien, 5.84148827727))",0.0560818160526,0.0,39.0,constant,full
46,Félicité,"(bonne, (domestique, 5.74915824916))",0.216823414421,1.0,39.0,constant,full
47,Félicité,"(bonne, (servante, 4.06349206349))",0.0185039834998,2.0,39.0,constant,full
48,Félicité,"(bonne, (apothicaire, 3.44612794613))",0.0616068723901,3.0,39.0,constant,full
49,Félicité,"(bonne, (bonne, 3.36349206349))",1.0,4.0,39.0,constant,full
50,Justin,"(commis, (apothicaire, 5.92881990902))",0.259660207783,0.0,35.0,constant,full
51,Justin,"(commis, (pharmacien, 3.4439235959))",0.10798006897,1.0,35.0,constant,full
52,Justin,"(commis, (docteur, 3.35905649388))",0.078399241684,2.0,35.0,constant,full
53,Justin,"(commis, (domestique, 2.79799229923))",0.120664913951,3.0,35.0,constant,full
54,Justin,"(commis, (garde, 2.50691613279))",0.202328162051,4.0,35.0,constant,full
55,Lefrançois,"(aubergiste, (pharmacien, 5.80701158301))",0.0951450019878,0.0,34.0,constant,full
56,Lefrançois,"(aubergiste, (apothicaire, 2.76883257579))",0.293792041853,1.0,34.0,constant,full
57,Lefrançois,"(aubergiste, (aubergiste, 2.08333333333))",1.0,2.0,34.0,constant,full
58,Lefrançois,"(aubergiste, (percepteur, 1.92656667657))",0.196550285799,3.0,34.0,constant,full
59,Lefrançois,"(aubergiste, (maîtresse, 1.7463688178))",0.185443776551,4.0,34.0,constant,full
60,Rouault,"(cultivateur, (bonne, 5.87893541058))",0.0367385778399,0.0,32.0,constant,full
61,Rouault,"(cultivateur, (fermier, 2.22222222222))",0.343667128051,1.0,32.0,constant,full
62,Rouault,"(cultivateur, (domestique, 1.82793522267))",0.06455348115,2.0,32.0,constant,full
63,Rouault,"(cultivateur, (médecin, 1.82258064516))",0.0407494232427,3.0,32.0,constant,full
64,Rouault,"(cultivateur, (maîtresse, 1.78205128205))",0.0915347747867,4.0,32.0,constant,full
65,Binet,"(percepteur, (pharmacien, 5.95693779904))",0.0893582495903,0.0,28.0,constant,full
66,Binet,"(percepteur, (percepteur, 4.47420634921))",1.0,1.0,28.0,constant,full
67,Binet,"(percepteur, (garde, 3.08834586466))",0.137456301337,2.0,28.0,constant,full
68,Binet,"(percepteur, (grenier, 2.96701982228))",0.117984193004,3.0,28.0,constant,full
69,Binet,"(percepteur, (colonel, 2.81829573935))",0.0934200686486,4.0,28.0,constant,full
70,MLheureux,"(commerçant, (marchand, 5.30010604454))",0.348131064534,0.0,23.0,constant,full
71,MLheureux,"(commerçant, (pharmacien, 2.418181403))",0.155288888887,1.0,23.0,constant,full
72,MLheureux,"(commerçant, (servante, 2.06512034161))",0.0383671666208,2.0,23.0,constant,full
73,MLheureux,"(commerçant, (nourrice, 1.6994635799))",0.0492314253395,3.0,23.0,constant,full
74,MLheureux,"(commerçant, (médecin, 1.64452581811))",0.093905012596,4.0,23.0,constant,full
75,MLheureux,"(marchand, (marchand, 5.30010604454))",1.0,0.0,23.0,constant,full
76,MLheureux,"(marchand, (pharmacien, 2.418181403))",0.0828064774782,1.0,23.0,constant,full
77,MLheureux,"(marchand, (servante, 2.06512034161))",0.104703625642,2.0,23.0,constant,full
78,MLheureux,"(marchand, (nourrice, 1.6994635799))",0.0707265865222,3.0,23.0,constant,full
79,MLheureux,"(marchand, (médecin, 1.64452581811))",0.0397771521663,4.0,23.0,constant,full
80,Tuvache,"(maire, (maire, 5.79452054795))",1.0,0.0,22.0,constant,full
81,Tuvache,"(maire, (pharmacien, 4.70801714793))",0.108565433502,1.0,22.0,constant,full
82,Tuvache,"(maire, (notaire, 3.45068493151))",0.153802478907,2.0,22.0,constant,full
83,Tuvache,"(maire, (médecin, 3.44818344253))",0.108657644877,3.0,22.0,constant,full
84,Tuvache,"(maire, (docteur, 3.4147260274))",0.11259831662,4.0,22.0,constant,full
85,MBovary,"(médecin, (pharmacien, 5.94482758621))",0.642125232779,0.0,20.0,constant,full
86,MBovary,"(médecin, (clerc, 4.29350104822))",0.0283299410934,1.0,20.0,constant,full
87,MBovary,"(médecin, (bonne, 4.29198966408))",0.016494403075,2.0,20.0,constant,full
88,MBovary,"(médecin, (notaire, 4.20707070707))",0.127650012684,3.0,20.0,constant,full
89,MBovary,"(médecin, (maître, 2.65674603175))",0.120192413364,4.0,20.0,constant,full
90,MBovary,"(docteur, (pharmacien, 5.94482758621))",0.320422793926,0.0,20.0,constant,full
91,MBovary,"(docteur, (clerc, 4.29350104822))",0.0951123384133,1.0,20.0,constant,full
92,MBovary,"(docteur, (bonne, 4.29198966408))",0.0513683135232,2.0,20.0,constant,full
93,MBovary,"(docteur, (notaire, 4.20707070707))",0.0661128096308,3.0,20.0,constant,full
94,MBovary,"(docteur, (maître, 2.65674603175))",0.245771869285,4.0,20.0,constant,full
95,Hivert,"(cocher, (apothicaire, 5.98945054945))",0.0245703776069,0.0,15.0,constant,full
96,Hivert,"(cocher, (pharmacien, 3.49549668874))",0.0168184178988,1.0,15.0,constant,full
97,Hivert,"(cocher, (bonne, 3.48727272727))",0.023791033454,2.0,15.0,constant,full
98,Hivert,"(cocher, (cuisinière, 3.48444444444))",0.0659574471444,3.0,15.0,constant,full
99,Hivert,"(cocher, (marchand, 3.46186046512))",0.0345362372758,4.0,15.0,constant,full
100,MLéon,"(clerc, (bonne, 5.98385416667))",-0.0016939736408,0.0,14.0,constant,full
101,MLéon,"(clerc, (pharmacien, 3.49876644737))",0.0165906693845,1.0,14.0,constant,full
102,MLéon,"(clerc, (nourrice, 3.48784722222))",0.0211526359086,2.0,14.0,constant,full
103,MLéon,"(clerc, (apothicaire, 3.48777173913))",0.141839880246,3.0,14.0,constant,full
104,MLéon,"(clerc, (marchand, 3.45205965909))",0.136178495991,4.0,14.0,constant,full
105,Canivet,"(docteur, (docteur, 5.75740740741))",1.0,0.0,13.0,constant,full
106,Canivet,"(docteur, (pharmacien, 2.9816017316))",0.320422793926,1.0,13.0,constant,full
107,Canivet,"(docteur, (chirurgien, 2.5))",0.465177167065,2.0,13.0,constant,full
108,Canivet,"(docteur, (apothicaire, 1.98297491039))",0.227479996337,3.0,13.0,constant,full
109,Canivet,"(docteur, (bonne, 1.94597069597))",0.0513683135232,4.0,13.0,constant,full
110,Canivet,"(chirurgien, (docteur, 5.75740740741))",0.465177167065,0.0,13.0,constant,full
111,Canivet,"(chirurgien, (pharmacien, 2.9816017316))",0.363254937896,1.0,13.0,constant,full
112,Canivet,"(chirurgien, (chirurgien, 2.5))",1.0,2.0,13.0,constant,full
113,Canivet,"(chirurgien, (apothicaire, 1.98297491039))",0.295342943645,3.0,13.0,constant,full
114,Canivet,"(chirurgien, (bonne, 1.94597069597))",-0.00582950161286,4.0,13.0,constant,full
115,Canivet,"(médecin, (docteur, 5.75740740741))",0.471715596309,0.0,13.0,constant,full
116,Canivet,"(médecin, (pharmacien, 2.9816017316))",0.642125232779,1.0,13.0,constant,full
117,Canivet,"(médecin, (chirurgien, 2.5))",0.592420467888,2.0,13.0,constant,full
118,Canivet,"(médecin, (apothicaire, 1.98297491039))",0.257357468666,3.0,13.0,constant,full
119,Canivet,"(médecin, (bonne, 1.94597069597))",0.016494403075,4.0,13.0,constant,full
120,Bournisien,"(prêtre, (pharmacien, 5.98708421798))",0.0282128221498,0.0,11.0,constant,full
121,Bournisien,"(prêtre, (médecin, 2.66400304414))",0.0783481892367,1.0,11.0,constant,full
122,Bournisien,"(prêtre, (apothicaire, 2.63770685579))",0.178464549218,2.0,11.0,constant,full
123,Bournisien,"(prêtre, (servante, 2.59188034188))",0.297315444337,3.0,11.0,constant,full
124,Bournisien,"(prêtre, (magistrat, 2.56666666667))",0.10633829457,4.0,11.0,constant,full
125,Bournisien,"(curé, (pharmacien, 5.98708421798))",0.0517007522912,0.0,11.0,constant,full
126,Bournisien,"(curé, (médecin, 2.66400304414))",0.0681350718781,1.0,11.0,constant,full
127,Bournisien,"(curé, (apothicaire, 2.63770685579))",0.218821088326,2.0,11.0,constant,full
128,Bournisien,"(curé, (servante, 2.59188034188))",0.21308721434,3.0,11.0,constant,full
129,Bournisien,"(curé, (magistrat, 2.56666666667))",0.120888598901,4.0,11.0,constant,full
130,Vinçart,"(banquier, (banquier, 5.50684931507))",1.0,0.0,10.0,constant,full
131,Vinçart,"(banquier, (pharmacien, 3.44537887983))",0.072942424349,1.0,10.0,constant,full
132,Vinçart,"(banquier, (domestique, 3.40753424658))",0.0321457705145,2.0,10.0,constant,full
133,Vinçart,"(banquier, (notaire, 2.60102739726))",0.172189603238,3.0,10.0,constant,full
134,Vinçart,"(banquier, (marchand, 2.5))",0.211003688542,4.0,10.0,constant,full
135,MCanivet,"(docteur, (pharmacien, 5.48046676814))",0.320422793926,0.0,9.0,constant,full
136,MCanivet,"(docteur, (docteur, 3.75))",1.0,1.0,9.0,constant,full
137,MCanivet,"(docteur, (apothicaire, 2.13356164384))",0.227479996337,2.0,9.0,constant,full
138,MCanivet,"(docteur, (bonne, 2.10465032444))",0.0513683135232,3.0,9.0,constant,full
139,MCanivet,"(docteur, (maître, 1.93183826779))",0.245771869285,4.0,9.0,constant,full
140,MCanivet,"(chirurgien, (pharmacien, 5.48046676814))",0.363254937896,0.0,9.0,constant,full
141,MCanivet,"(chirurgien, (docteur, 3.75))",0.465177167065,1.0,9.0,constant,full
142,MCanivet,"(chirurgien, (apothicaire, 2.13356164384))",0.295342943645,2.0,9.0,constant,full
143,MCanivet,"(chirurgien, (bonne, 2.10465032444))",-0.00582950161286,3.0,9.0,constant,full
144,MCanivet,"(chirurgien, (maître, 1.93183826779))",0.14514804672,4.0,9.0,constant,full
145,MCanivet,"(médecin, (pharmacien, 5.48046676814))",0.642125232779,0.0,9.0,constant,full
146,MCanivet,"(médecin, (docteur, 3.75))",0.471715596309,1.0,9.0,constant,full
147,MCanivet,"(médecin, (apothicaire, 2.13356164384))",0.257357468666,2.0,9.0,constant,full
148,MCanivet,"(médecin, (bonne, 2.10465032444))",0.016494403075,3.0,9.0,constant,full
149,MCanivet,"(médecin, (maître, 1.93183826779))",0.120192413364,4.0,9.0,constant,full
150,MGuillaumin,"(notaire, (domestique, 5.71618414808))",0.0395792991493,0.0,8.0,constant,full
151,MGuillaumin,"(notaire, (apothicaire, 4.09692193709))",0.175228650163,1.0,8.0,constant,full
152,MGuillaumin,"(notaire, (maître, 3.89919604205))",0.196361107601,2.0,8.0,constant,full
153,MGuillaumin,"(notaire, (notaire, 3.33333333333))",1.0,3.0,8.0,constant,full
154,MGuillaumin,"(notaire, (pharmacien, 2.48979591837))",0.120647607672,4.0,8.0,constant,full
155,MBinet,"(percepteur, (percepteur, 5.82456140351))",1.0,0.0,7.0,constant,full
156,MBinet,"(percepteur, (pharmacien, 3.49796001632))",0.0893582495903,1.0,7.0,constant,full
157,MBinet,"(percepteur, (apothicaire, 3.49356188637))",0.190865890887,2.0,7.0,constant,full
158,MBinet,"(percepteur, (grenier, 3.47300944669))",0.117984193004,3.0,7.0,constant,full
159,MBinet,"(percepteur, (domestique, 3.46643783371))",0.124500357693,4.0,7.0,constant,full
