,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Charles,"(médecin, (médecin, 5.78702703406))",1.0,0.0,296.0,decreasing,full
1,Charles,"(médecin, (bonne, 4.50902943368))",0.016494403075,1.0,296.0,decreasing,full
2,Charles,"(médecin, (pharmacien, 2.80562432402))",0.642125232779,2.0,296.0,decreasing,full
3,Charles,"(médecin, (maître, 2.26839776246))",0.120192413364,3.0,296.0,decreasing,full
4,Charles,"(médecin, (servante, 2.24950279142))",-0.00849135445966,4.0,296.0,decreasing,full
5,Charles,"(docteur, (médecin, 5.78702703406))",0.471715596309,0.0,296.0,decreasing,full
6,Charles,"(docteur, (bonne, 4.50902943368))",0.0513683135232,1.0,296.0,decreasing,full
7,Charles,"(docteur, (pharmacien, 2.80562432402))",0.320422793926,2.0,296.0,decreasing,full
8,Charles,"(docteur, (maître, 2.26839776246))",0.245771869285,3.0,296.0,decreasing,full
9,Charles,"(docteur, (servante, 2.24950279142))",0.0635943153383,4.0,296.0,decreasing,full
10,Léon,"(clerc, (clerc, 5.8465196856))",1.0,0.0,119.0,decreasing,full
11,Léon,"(clerc, (pharmacien, 5.27740688234))",0.0165906693845,1.0,119.0,decreasing,full
12,Léon,"(clerc, (médecin, 4.55700986415))",0.0283299410934,2.0,119.0,decreasing,full
13,Léon,"(clerc, (apothicaire, 3.84413399452))",0.141839880246,3.0,119.0,decreasing,full
14,Léon,"(clerc, (notaire, 2.8427805041))",0.236400454506,4.0,119.0,decreasing,full
15,Homais,"(pharmacien, (pharmacien, 5.81176271408))",1.0,0.0,115.0,decreasing,full
16,Homais,"(pharmacien, (apothicaire, 3.10371193909))",0.376857680782,1.0,115.0,decreasing,full
17,Homais,"(pharmacien, (bonne, 2.97270650058))",0.0560818160526,2.0,115.0,decreasing,full
18,Homais,"(pharmacien, (clerc, 2.3340583301))",0.0165906693845,3.0,115.0,decreasing,full
19,Homais,"(pharmacien, (médecin, 2.08721881745))",0.642125232779,4.0,115.0,decreasing,full
20,Homais,"(apothicaire, (pharmacien, 5.81176271408))",0.376857680782,0.0,115.0,decreasing,full
21,Homais,"(apothicaire, (apothicaire, 3.10371193909))",1.0,1.0,115.0,decreasing,full
22,Homais,"(apothicaire, (bonne, 2.97270650058))",0.0616068723901,2.0,115.0,decreasing,full
23,Homais,"(apothicaire, (clerc, 2.3340583301))",0.141839880246,3.0,115.0,decreasing,full
24,Homais,"(apothicaire, (médecin, 2.08721881745))",0.257357468666,4.0,115.0,decreasing,full
25,MHomais,"(pharmacien, (pharmacien, 5.95727391497))",1.0,0.0,41.0,decreasing,full
26,MHomais,"(pharmacien, (apothicaire, 5.77017907741))",0.376857680782,1.0,41.0,decreasing,full
27,MHomais,"(pharmacien, (bonne, 4.07534752257))",0.0560818160526,2.0,41.0,decreasing,full
28,MHomais,"(pharmacien, (domestique, 3.43461424272))",0.0635828123567,3.0,41.0,decreasing,full
29,MHomais,"(pharmacien, (médecin, 2.88779133496))",0.642125232779,4.0,41.0,decreasing,full
30,MHomais,"(apothicaire, (pharmacien, 5.95727391497))",0.376857680782,0.0,41.0,decreasing,full
31,MHomais,"(apothicaire, (apothicaire, 5.77017907741))",1.0,1.0,41.0,decreasing,full
32,MHomais,"(apothicaire, (bonne, 4.07534752257))",0.0616068723901,2.0,41.0,decreasing,full
33,MHomais,"(apothicaire, (domestique, 3.43461424272))",0.083994287266,3.0,41.0,decreasing,full
34,MHomais,"(apothicaire, (médecin, 2.88779133496))",0.257357468666,4.0,41.0,decreasing,full
35,Lheureux,"(commerçant, (marchand, 5.12667602918))",0.348131064534,0.0,41.0,decreasing,full
36,Lheureux,"(commerçant, (bonne, 3.0582612973))",0.0266171914228,1.0,41.0,decreasing,full
37,Lheureux,"(commerçant, (domestique, 2.35993206507))",0.070247566247,2.0,41.0,decreasing,full
38,Lheureux,"(commerçant, (apothicaire, 2.01096973483))",0.212272513252,3.0,41.0,decreasing,full
39,Lheureux,"(commerçant, (servante, 1.89956388865))",0.0383671666208,4.0,41.0,decreasing,full
40,Lheureux,"(marchand, (marchand, 5.12667602918))",1.0,0.0,41.0,decreasing,full
41,Lheureux,"(marchand, (bonne, 3.0582612973))",0.0690660916641,1.0,41.0,decreasing,full
42,Lheureux,"(marchand, (domestique, 2.35993206507))",0.120555017169,2.0,41.0,decreasing,full
43,Lheureux,"(marchand, (apothicaire, 2.01096973483))",0.31289527344,3.0,41.0,decreasing,full
44,Lheureux,"(marchand, (servante, 1.89956388865))",0.104703625642,4.0,41.0,decreasing,full
