,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Charles,"(médecin, (quincaillier, 60.0))",0.0709435622552,0.0,proximity,29.0,constant,exposition
1,Charles,"(médecin, (correspondant, 58.0))",0.188001560911,1.0,proximity,29.0,constant,exposition
2,Charles,"(médecin, (représentant, 39.0))",0.230473647914,2.0,proximity,29.0,constant,exposition
3,Charles,"(médecin, (médecin, 35.5))",1.0,3.0,proximity,29.0,constant,exposition
4,Charles,"(médecin, (cultivateur, 35.0))",0.0407494232427,4.0,proximity,29.0,constant,exposition
5,Charles,"(docteur, (quincaillier, 60.0))",0.155587864664,0.0,proximity,29.0,constant,exposition
6,Charles,"(docteur, (correspondant, 58.0))",0.141357230801,1.0,proximity,29.0,constant,exposition
7,Charles,"(docteur, (représentant, 39.0))",0.146258470564,2.0,proximity,29.0,constant,exposition
8,Charles,"(docteur, (médecin, 35.5))",0.471715596309,3.0,proximity,29.0,constant,exposition
9,Charles,"(docteur, (cultivateur, 35.0))",0.052938499244,4.0,proximity,29.0,constant,exposition
10,Léon,"(clerc, (maire, 99.0))",0.0886243613231,0.0,proximity,11.0,constant,exposition
11,Léon,"(clerc, (notaire, 71.0))",0.236400454506,1.0,proximity,11.0,constant,exposition
12,Léon,"(clerc, (correspondant, 44.0))",0.0128311439707,2.0,proximity,11.0,constant,exposition
13,Léon,"(clerc, (clerc, 35.3333333333))",1.0,3.0,proximity,11.0,constant,exposition
14,Léon,"(clerc, (pharmacien, 25.5))",0.0165906693845,4.0,proximity,11.0,constant,exposition
15,Homais,"(pharmacien, (marchand, 146.0))",0.0828064774782,0.0,proximity,11.0,constant,exposition
16,Homais,"(pharmacien, (sacristain, 94.0))",0.040691377909,1.0,proximity,11.0,constant,exposition
17,Homais,"(pharmacien, (nourrice, 26.0))",0.0453939899514,2.0,proximity,11.0,constant,exposition
18,Homais,"(pharmacien, (maire, 25.5))",0.108565433502,3.0,proximity,11.0,constant,exposition
19,Homais,"(pharmacien, (apothicaire, 24.3333333333))",0.376857680782,4.0,proximity,11.0,constant,exposition
20,Homais,"(apothicaire, (marchand, 146.0))",0.31289527344,0.0,proximity,11.0,constant,exposition
21,Homais,"(apothicaire, (sacristain, 94.0))",0.117465948277,1.0,proximity,11.0,constant,exposition
22,Homais,"(apothicaire, (nourrice, 26.0))",0.142657839779,2.0,proximity,11.0,constant,exposition
23,Homais,"(apothicaire, (maire, 25.5))",0.0523888365161,3.0,proximity,11.0,constant,exposition
24,Homais,"(apothicaire, (apothicaire, 24.3333333333))",1.0,4.0,proximity,11.0,constant,exposition
25,MHomais,"(pharmacien, (architecte, 100.0))",0.136560595862,0.0,proximity,10.0,constant,exposition
26,MHomais,"(pharmacien, (sacristain, 75.5))",0.040691377909,1.0,proximity,10.0,constant,exposition
27,MHomais,"(pharmacien, (marchand, 49.5))",0.0828064774782,2.0,proximity,10.0,constant,exposition
28,MHomais,"(pharmacien, (apothicaire, 32.4))",0.376857680782,3.0,proximity,10.0,constant,exposition
29,MHomais,"(pharmacien, (domestique, 26.3333333333))",0.0635828123567,4.0,proximity,10.0,constant,exposition
