,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Charles,"(médecin, (quincaillier, 60.0))",0.0709435622552,0.0,proximity,29.0,decreasing,exposition
1,Charles,"(médecin, (correspondant, 58.0))",0.188001560911,1.0,proximity,29.0,decreasing,exposition
2,Charles,"(médecin, (médecin, 41.6631808272))",1.0,2.0,proximity,29.0,decreasing,exposition
3,Charles,"(médecin, (représentant, 39.0))",0.230473647914,3.0,proximity,29.0,decreasing,exposition
4,Charles,"(médecin, (huissier, 38.6846908264))",0.11190676438,4.0,proximity,29.0,decreasing,exposition
5,Charles,"(docteur, (quincaillier, 60.0))",0.155587864664,0.0,proximity,29.0,decreasing,exposition
6,Charles,"(docteur, (correspondant, 58.0))",0.141357230801,1.0,proximity,29.0,decreasing,exposition
7,Charles,"(docteur, (médecin, 41.6631808272))",0.471715596309,2.0,proximity,29.0,decreasing,exposition
8,Charles,"(docteur, (représentant, 39.0))",0.146258470564,3.0,proximity,29.0,decreasing,exposition
9,Charles,"(docteur, (huissier, 38.6846908264))",0.0476230553824,4.0,proximity,29.0,decreasing,exposition
10,Léon,"(clerc, (maire, 99.0))",0.0886243613231,0.0,proximity,11.0,decreasing,exposition
11,Léon,"(clerc, (notaire, 71.0))",0.236400454506,1.0,proximity,11.0,decreasing,exposition
12,Léon,"(clerc, (clerc, 25.1342266961))",1.0,2.0,proximity,11.0,decreasing,exposition
13,Léon,"(clerc, (correspondant, 18.554192217))",0.0128311439707,3.0,proximity,11.0,decreasing,exposition
14,Léon,"(clerc, (apothicaire, 17.5342704162))",0.141839880246,4.0,proximity,11.0,decreasing,exposition
15,Homais,"(pharmacien, (marchand, 146.0))",0.0828064774782,0.0,proximity,11.0,decreasing,exposition
16,Homais,"(pharmacien, (sacristain, 94.0))",0.040691377909,1.0,proximity,11.0,decreasing,exposition
17,Homais,"(pharmacien, (domestique, 30.8903390691))",0.0635828123567,2.0,proximity,11.0,decreasing,exposition
18,Homais,"(pharmacien, (pharmacien, 26.5298930712))",1.0,3.0,proximity,11.0,decreasing,exposition
19,Homais,"(pharmacien, (nourrice, 26.0))",0.0453939899514,4.0,proximity,11.0,decreasing,exposition
20,Homais,"(apothicaire, (marchand, 146.0))",0.31289527344,0.0,proximity,11.0,decreasing,exposition
21,Homais,"(apothicaire, (sacristain, 94.0))",0.117465948277,1.0,proximity,11.0,decreasing,exposition
22,Homais,"(apothicaire, (domestique, 30.8903390691))",0.083994287266,2.0,proximity,11.0,decreasing,exposition
23,Homais,"(apothicaire, (pharmacien, 26.5298930712))",0.376857680782,3.0,proximity,11.0,decreasing,exposition
24,Homais,"(apothicaire, (nourrice, 26.0))",0.142657839779,4.0,proximity,11.0,decreasing,exposition
25,MHomais,"(pharmacien, (sacristain, 117.099050122))",0.040691377909,0.0,proximity,10.0,decreasing,exposition
26,MHomais,"(pharmacien, (architecte, 100.0))",0.136560595862,1.0,proximity,10.0,decreasing,exposition
27,MHomais,"(pharmacien, (marchand, 76.773549418))",0.0828064774782,2.0,proximity,10.0,decreasing,exposition
28,MHomais,"(pharmacien, (domestique, 54.3034921767))",0.0635828123567,3.0,proximity,10.0,decreasing,exposition
29,MHomais,"(pharmacien, (apothicaire, 21.6173972494))",0.376857680782,4.0,proximity,10.0,decreasing,exposition
30,MHomais,"(apothicaire, (sacristain, 117.099050122))",0.117465948277,0.0,proximity,10.0,decreasing,exposition
31,MHomais,"(apothicaire, (architecte, 100.0))",0.117196531422,1.0,proximity,10.0,decreasing,exposition
32,MHomais,"(apothicaire, (marchand, 76.773549418))",0.31289527344,2.0,proximity,10.0,decreasing,exposition
33,MHomais,"(apothicaire, (domestique, 54.3034921767))",0.083994287266,3.0,proximity,10.0,decreasing,exposition
