,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Charles,"(médecin, (jardinier, 126.0))",0.0593889577663,0.0,proximity,296.0,constant,full
1,Charles,"(médecin, (ciseleur, 113.0))",-0.0083288290296,1.0,proximity,296.0,constant,full
2,Charles,"(médecin, (diplomate, 85.0))",0.13155397465,2.0,proximity,296.0,constant,full
3,Charles,"(médecin, (filateur, 71.5))",0.0140104024299,3.0,proximity,296.0,constant,full
4,Charles,"(médecin, (manoeuvre, 64.0))",0.0882593178501,4.0,proximity,296.0,constant,full
5,Charles,"(docteur, (jardinier, 126.0))",0.100280169107,0.0,proximity,296.0,constant,full
6,Charles,"(docteur, (ciseleur, 113.0))",0.0421903110995,1.0,proximity,296.0,constant,full
7,Charles,"(docteur, (diplomate, 85.0))",0.174999497752,2.0,proximity,296.0,constant,full
8,Charles,"(docteur, (filateur, 71.5))",0.0549651181285,3.0,proximity,296.0,constant,full
9,Charles,"(docteur, (manoeuvre, 64.0))",0.0166495288123,4.0,proximity,296.0,constant,full
10,Léon,"(clerc, (chambellan, 129.0))",0.141776136109,0.0,proximity,119.0,constant,full
11,Léon,"(clerc, (soignant, 67.0))",0.00581327535898,1.0,proximity,119.0,constant,full
12,Léon,"(clerc, (patron, 32.6666666667))",0.198293762836,2.0,proximity,119.0,constant,full
13,Léon,"(clerc, (surveillant, 29.5))",0.0480559828119,3.0,proximity,119.0,constant,full
14,Léon,"(clerc, (notaire, 26.5384615385))",0.236400454506,4.0,proximity,119.0,constant,full
15,Homais,"(pharmacien, (épicier, 71.0))",0.244210662797,0.0,proximity,115.0,constant,full
16,Homais,"(pharmacien, (sacristain, 47.0))",0.040691377909,1.0,proximity,115.0,constant,full
17,Homais,"(pharmacien, (chirurgien, 37.8))",0.363254937896,2.0,proximity,115.0,constant,full
18,Homais,"(pharmacien, (général, 24.3333333333))",0.0792449523035,3.0,proximity,115.0,constant,full
19,Homais,"(pharmacien, (journaliste, 23.0))",0.0841507943573,4.0,proximity,115.0,constant,full
20,Homais,"(apothicaire, (épicier, 71.0))",0.486261965222,0.0,proximity,115.0,constant,full
21,Homais,"(apothicaire, (sacristain, 47.0))",0.117465948277,1.0,proximity,115.0,constant,full
22,Homais,"(apothicaire, (chirurgien, 37.8))",0.295342943645,2.0,proximity,115.0,constant,full
23,Homais,"(apothicaire, (général, 24.3333333333))",-0.0139918688175,3.0,proximity,115.0,constant,full
24,Homais,"(apothicaire, (journaliste, 23.0))",0.0541899102798,4.0,proximity,115.0,constant,full
25,MHomais,"(pharmacien, (architecte, 100.0))",0.136560595862,0.0,proximity,41.0,constant,full
26,MHomais,"(pharmacien, (auteur, 54.0))",0.0617382074949,1.0,proximity,41.0,constant,full
27,MHomais,"(pharmacien, (sacristain, 50.3333333333))",0.040691377909,2.0,proximity,41.0,constant,full
28,MHomais,"(pharmacien, (palefrenier, 47.5))",0.0886598706985,3.0,proximity,41.0,constant,full
29,MHomais,"(pharmacien, (chancelière, 14.4))",0.01343517867,4.0,proximity,41.0,constant,full
30,MHomais,"(apothicaire, (architecte, 100.0))",0.117196531422,0.0,proximity,41.0,constant,full
31,MHomais,"(apothicaire, (auteur, 54.0))",0.0495714710954,1.0,proximity,41.0,constant,full
32,MHomais,"(apothicaire, (sacristain, 50.3333333333))",0.117465948277,2.0,proximity,41.0,constant,full
33,MHomais,"(apothicaire, (palefrenier, 47.5))",0.233894760136,3.0,proximity,41.0,constant,full
34,MHomais,"(apothicaire, (chancelière, 14.4))",-0.0124960170839,4.0,proximity,41.0,constant,full
35,Lheureux,"(commerçant, (marchand, 12.0))",0.348131064534,0.0,proximity,41.0,constant,full
36,Lheureux,"(commerçant, (secrétaire, 8.66666666667))",0.0598311518788,1.0,proximity,41.0,constant,full
37,Lheureux,"(commerçant, (ouvrier, 8.5))",0.218848389144,2.0,proximity,41.0,constant,full
38,Lheureux,"(commerçant, (percepteur, 7.66666666667))",0.173131673152,3.0,proximity,41.0,constant,full
39,Lheureux,"(commerçant, (commis, 6.2))",0.131595310114,4.0,proximity,41.0,constant,full
40,Lheureux,"(marchand, (marchand, 12.0))",1.0,0.0,proximity,41.0,constant,full
41,Lheureux,"(marchand, (secrétaire, 8.66666666667))",0.0741011741501,1.0,proximity,41.0,constant,full
42,Lheureux,"(marchand, (ouvrier, 8.5))",0.191785032415,2.0,proximity,41.0,constant,full
43,Lheureux,"(marchand, (percepteur, 7.66666666667))",0.163687171793,3.0,proximity,41.0,constant,full
44,Lheureux,"(marchand, (commis, 6.2))",0.266237739865,4.0,proximity,41.0,constant,full
45,Félicité,"(bonne, (palefrenier, 18.0))",-0.0428334049331,0.0,proximity,39.0,constant,full
46,Félicité,"(bonne, (paysan, 17.0))",0.0395209154281,1.0,proximity,39.0,constant,full
47,Félicité,"(bonne, (prêtre, 14.5384615385))",-0.026355435821,2.0,proximity,39.0,constant,full
48,Félicité,"(bonne, (pêcheur, 8.0))",0.0434166741052,3.0,proximity,39.0,constant,full
49,Félicité,"(bonne, (doublure, 6.88888888889))",0.0144781626627,4.0,proximity,39.0,constant,full
50,Justin,"(commis, (sacristain, 25.25))",0.0794220921445,0.0,proximity,35.0,constant,full
51,Justin,"(commis, (garde, 9.29411764706))",0.202328162051,1.0,proximity,35.0,constant,full
52,Justin,"(commis, (patron, 5.88888888889))",0.271098559578,2.0,proximity,35.0,constant,full
53,Justin,"(commis, (épicier, 4.0))",0.346890228037,3.0,proximity,35.0,constant,full
54,Justin,"(commis, (docteur, 3.55882352941))",0.078399241684,4.0,proximity,35.0,constant,full
55,Lefrançois,"(aubergiste, (aubergiste, 23.5454545455))",1.0,0.0,proximity,34.0,constant,full
56,Lefrançois,"(aubergiste, (percepteur, 7.61538461538))",0.196550285799,1.0,proximity,34.0,constant,full
57,Lefrançois,"(aubergiste, (apothicaire, 7.40506329114))",0.293792041853,2.0,proximity,34.0,constant,full
58,Lefrançois,"(aubergiste, (chimiste, 6.0))",0.054201524573,3.0,proximity,34.0,constant,full
59,Lefrançois,"(aubergiste, (pharmacien, 4.544))",0.0951450019878,4.0,proximity,34.0,constant,full
60,Rouault,"(cultivateur, (mareyeur, 39.0))",0.142288856821,0.0,proximity,32.0,constant,full
61,Rouault,"(cultivateur, (ménétrier, 30.25))",0.0824396763701,1.0,proximity,32.0,constant,full
62,Rouault,"(cultivateur, (fermier, 17.3333333333))",0.343667128051,2.0,proximity,32.0,constant,full
63,Rouault,"(cultivateur, (militaire, 15.25))",0.138009645011,3.0,proximity,32.0,constant,full
64,Rouault,"(cultivateur, (patron, 10.6))",0.112518632009,4.0,proximity,32.0,constant,full
65,Binet,"(percepteur, (chasseur, 76.0))",0.128304858905,0.0,proximity,28.0,constant,full
66,Binet,"(percepteur, (servant, 45.0))",0.0509536206283,1.0,proximity,28.0,constant,full
67,Binet,"(percepteur, (colonel, 24.6666666667))",0.0934200686486,2.0,proximity,28.0,constant,full
68,Binet,"(percepteur, (préfet, 22.75))",0.152436418268,3.0,proximity,28.0,constant,full
69,Binet,"(percepteur, (grenier, 13.3636363636))",0.117984193004,4.0,proximity,28.0,constant,full
70,MLheureux,"(commerçant, (doublure, 9.2))",0.0202527555052,0.0,proximity,23.0,constant,full
71,MLheureux,"(commerçant, (marchand, 6.43902439024))",0.348131064534,1.0,proximity,23.0,constant,full
72,MLheureux,"(commerçant, (secrétaire, 6.28571428571))",0.0598311518788,2.0,proximity,23.0,constant,full
73,MLheureux,"(commerçant, (servante, 3.34375))",0.0383671666208,3.0,proximity,23.0,constant,full
74,MLheureux,"(commerçant, (paysanne, 1.25))",0.127853714162,4.0,proximity,23.0,constant,full
75,MLheureux,"(marchand, (doublure, 9.2))",0.064275574815,0.0,proximity,23.0,constant,full
76,MLheureux,"(marchand, (marchand, 6.43902439024))",1.0,1.0,proximity,23.0,constant,full
77,MLheureux,"(marchand, (secrétaire, 6.28571428571))",0.0741011741501,2.0,proximity,23.0,constant,full
78,MLheureux,"(marchand, (servante, 3.34375))",0.104703625642,3.0,proximity,23.0,constant,full
79,MLheureux,"(marchand, (paysanne, 1.25))",0.0987243477768,4.0,proximity,23.0,constant,full
80,Tuvache,"(maire, (conseiller, 24.3333333333))",0.509598656272,0.0,proximity,22.0,constant,full
81,Tuvache,"(maire, (cocher, 16.6666666667))",0.0382851827388,1.0,proximity,22.0,constant,full
82,Tuvache,"(maire, (préfet, 13.4))",0.411422468297,2.0,proximity,22.0,constant,full
83,Tuvache,"(maire, (maire, 5.0))",1.0,3.0,proximity,22.0,constant,full
84,Tuvache,"(maire, (opérateur, 4.8))",0.0364705189627,4.0,proximity,22.0,constant,full
85,MBovary,"(médecin, (ménétrier, 18.0))",0.0423731848325,0.0,proximity,20.0,constant,full
86,MBovary,"(médecin, (officier, 9.16666666667))",0.162266297877,1.0,proximity,20.0,constant,full
87,MBovary,"(médecin, (menuisier, 5.66666666667))",0.0838666977948,2.0,proximity,20.0,constant,full
88,MBovary,"(médecin, (militaire, 5.4))",0.115161193722,3.0,proximity,20.0,constant,full
89,MBovary,"(médecin, (valet, 5.125))",0.091391676778,4.0,proximity,20.0,constant,full
90,MBovary,"(docteur, (ménétrier, 18.0))",0.0934460576863,0.0,proximity,20.0,constant,full
91,MBovary,"(docteur, (officier, 9.16666666667))",0.107045575518,1.0,proximity,20.0,constant,full
92,MBovary,"(docteur, (menuisier, 5.66666666667))",0.0725065440556,2.0,proximity,20.0,constant,full
93,MBovary,"(docteur, (militaire, 5.4))",0.093818315558,3.0,proximity,20.0,constant,full
94,MBovary,"(docteur, (valet, 5.125))",0.100650317181,4.0,proximity,20.0,constant,full
95,Hivert,"(cocher, (modiste, 25.0))",0.0789401609806,0.0,proximity,15.0,constant,full
96,Hivert,"(cocher, (palefrenier, 16.5))",0.179293665497,1.0,proximity,15.0,constant,full
97,Hivert,"(cocher, (calicot, 16.2857142857))",0.0293824630174,2.0,proximity,15.0,constant,full
98,Hivert,"(cocher, (cordonnier, 14.5))",0.0733627613092,3.0,proximity,15.0,constant,full
99,Hivert,"(cocher, (coiffeur, 14.25))",0.0250099897751,4.0,proximity,15.0,constant,full
