,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Charles,"(médecin, (jardinier, 126.0))",0.0593889577663,0.0,proximity,296.0,decreasing,full
1,Charles,"(médecin, (ciseleur, 113.0))",-0.0083288290296,1.0,proximity,296.0,decreasing,full
2,Charles,"(médecin, (diplomate, 85.0))",0.13155397465,2.0,proximity,296.0,decreasing,full
3,Charles,"(médecin, (surveillant, 73.2562997293))",0.209519488515,3.0,proximity,296.0,decreasing,full
4,Charles,"(médecin, (filateur, 71.6557664508))",0.0140104024299,4.0,proximity,296.0,decreasing,full
5,Charles,"(docteur, (jardinier, 126.0))",0.100280169107,0.0,proximity,296.0,decreasing,full
6,Charles,"(docteur, (ciseleur, 113.0))",0.0421903110995,1.0,proximity,296.0,decreasing,full
7,Charles,"(docteur, (diplomate, 85.0))",0.174999497752,2.0,proximity,296.0,decreasing,full
8,Charles,"(docteur, (surveillant, 73.2562997293))",0.0864944147007,3.0,proximity,296.0,decreasing,full
9,Charles,"(docteur, (filateur, 71.6557664508))",0.0549651181285,4.0,proximity,296.0,decreasing,full
10,Léon,"(clerc, (chambellan, 129.0))",0.141776136109,0.0,proximity,119.0,decreasing,full
11,Léon,"(clerc, (soignant, 66.8062255807))",0.00581327535898,1.0,proximity,119.0,decreasing,full
12,Léon,"(clerc, (notaire, 53.4538949017))",0.236400454506,2.0,proximity,119.0,decreasing,full
13,Léon,"(clerc, (privé, 25.0))",0.13458632764,3.0,proximity,119.0,decreasing,full
14,Léon,"(clerc, (chancelière, 24.8535203026))",-0.0265162823299,4.0,proximity,119.0,decreasing,full
15,Homais,"(pharmacien, (épicier, 71.0))",0.244210662797,0.0,proximity,115.0,decreasing,full
16,Homais,"(pharmacien, (sacristain, 56.5785008865))",0.040691377909,1.0,proximity,115.0,decreasing,full
17,Homais,"(pharmacien, (chirurgien, 46.4621621308))",0.363254937896,2.0,proximity,115.0,decreasing,full
18,Homais,"(pharmacien, (journaliste, 23.0))",0.0841507943573,3.0,proximity,115.0,decreasing,full
19,Homais,"(pharmacien, (marchand, 22.2407114514))",0.0828064774782,4.0,proximity,115.0,decreasing,full
20,Homais,"(apothicaire, (épicier, 71.0))",0.486261965222,0.0,proximity,115.0,decreasing,full
21,Homais,"(apothicaire, (sacristain, 56.5785008865))",0.117465948277,1.0,proximity,115.0,decreasing,full
22,Homais,"(apothicaire, (chirurgien, 46.4621621308))",0.295342943645,2.0,proximity,115.0,decreasing,full
23,Homais,"(apothicaire, (journaliste, 23.0))",0.0541899102798,3.0,proximity,115.0,decreasing,full
24,Homais,"(apothicaire, (marchand, 22.2407114514))",0.31289527344,4.0,proximity,115.0,decreasing,full
25,MHomais,"(pharmacien, (architecte, 100.0))",0.136560595862,0.0,proximity,41.0,decreasing,full
26,MHomais,"(pharmacien, (auteur, 64.8895472854))",0.0617382074949,1.0,proximity,41.0,decreasing,full
27,MHomais,"(pharmacien, (palefrenier, 55.7404834156))",0.0886598706985,2.0,proximity,41.0,decreasing,full
28,MHomais,"(pharmacien, (sacristain, 50.1386172004))",0.040691377909,3.0,proximity,41.0,decreasing,full
