,Character,Label,Pos_count,Pos_prob,Neg_count,Neg_prob,Neut_count,Neut_prob
0,Emma,neutral,0.0,17.4867083333,0.0,17.5132916667,35.0,31.0770833333
1,Charles,pos,1.0,14.5525,0.0,14.4475,28.0,26.925
2,Bovary,neutral,0.0,7.06833333333,0.0,7.93166666667,15.0,12.8616666667
3,Rodolphe,pos,1.0,4.964,0.0,6.036,10.0,8.8475
4,Léon,neutral,1.0,5.16366666667,1.0,5.83633333333,9.0,9.04
5,Homais,neutral,0.0,5.10416666667,0.0,5.89583333333,11.0,9.675
6,MHomais,pos,1.0,4.65041666667,0.0,5.34958333333,9.0,7.8625
7,Lheureux,pos,1.0,4.30083333333,0.0,5.69916666667,9.0,8.125
8,Félicité,neutral,0.0,5.045,0.0,4.955,10.0,9.01
9,Justin,pos,1.0,4.53333333333,0.0,5.46666666667,9.0,8.15
10,Lefrançois,pos,1.0,4.513125,0.0,5.486875,9.0,8.11875
11,Rouault,neutral,0.0,4.745,0.0,5.255,10.0,8.8625
12,Binet,neutral,0.0,5.17666666667,0.0,4.82333333333,10.0,8.75666666667
13,Hippolyte,pos,1.0,4.50083333333,0.0,5.49916666667,9.0,8.325
14,MLheureux,neutral,0.0,4.98416666667,0.0,5.01583333333,10.0,8.825
15,Tuvache,neutral,0.0,4.78416666667,0.0,5.21583333333,10.0,8.35416666667
16,Berthe,neutral,0.0,5.4375,0.0,4.5625,10.0,8.5
17,MBovary,pos,2.0,4.2725,0.0,5.7275,8.0,6.6
18,Lion,pos,1.0,4.85566666667,0.0,5.14433333333,9.0,7.95333333333
19,Hivert,neutral,0.0,4.70166666667,0.0,5.29833333333,10.0,8.53333333333
20,MLéon,pos,1.0,4.62566666667,0.0,5.37433333333,9.0,8.06333333333
21,Canivet,pos,2.0,4.43866666667,0.0,5.56133333333,8.0,6.58
22,Bournisien,neutral,0.0,4.63783333333,0.0,5.36216666667,10.0,9.03666666667
23,Vinçart,pos,1.0,4.27375,0.0,5.72625,9.0,7.9125
24,Rolet,neutral,0.0,4.773,0.0,5.227,10.0,8.53666666667
25,MCanivet,pos,2.0,4.38666666667,0.0,4.61333333333,7.0,5.6625
26,Suisse,pos,1.0,3.59083333333,0.0,4.40916666667,7.0,5.55
27,Napoléon,neutral,0.0,3.9325,0.0,4.0675,8.0,7.425
28,MGuillaumin,pos,2.0,3.48875,0.0,4.51125,6.0,6.175
29,Lucie,pos,2.0,3.68041666667,1.0,4.31958333333,5.0,4.64166666667
30,Aveugle,neg,0.0,4.683,3.0,3.317,5.0,5.89
31,Athalie,neutral,0.0,3.77375,0.0,4.22625,8.0,7.6
32,Marquis,neutral,0.0,3.5,0.0,3.5,7.0,6.025
33,MDerozerays,neutral,0.0,3.73416666667,0.0,3.26583333333,7.0,6.26666666667
34,MBoulanger,pos,3.0,3.095,0.0,3.905,4.0,4.925
35,MBinet,neutral,0.0,3.5555,0.0,3.4445,7.0,6.1
36,Argueil,neutral,0.0,3.4825,0.0,3.5175,7.0,6.10833333333
37,Vicomte,neutral,0.0,2.95666666667,0.0,3.04333333333,6.0,5.78333333333
38,MTuvache,neutral,0.0,3.14,0.0,2.86,6.0,5.4
39,Artémise,neutral,0.0,2.99583333333,0.0,3.00416666667,6.0,5.31666666667
40,Andervilliers,neutral,0.0,3.1755,0.0,2.8245,6.0,4.875
41,Théodore,neutral,0.0,2.436,0.0,2.564,5.0,4.56
42,Tellier,neutral,0.0,2.514,0.0,2.486,5.0,4.57
43,Lempereur,neutral,0.0,2.4125,0.0,2.5875,5.0,4.525
44,Langlois,neutral,0.0,2.0975,0.0,2.9025,5.0,4.15
45,Lagardy,pos,1.0,2.19083333333,0.0,2.80916666667,4.0,3.48333333333
