,Character,Label,Pos_count,Pos_prob,Neg_count,Neg_prob,Neut_count,Neut_prob
0,Emma,pos,3.0,12.6480208333,0.0,14.3519791667,24.0,22.0521527778
1,Charles,neutral,0.0,10.88,0.0,11.12,22.0,20.1525
2,Bovary,neutral,0.0,5.1495,0.0,4.8505,10.0,8.77
3,Rodolphe,neutral,0.0,5.12208333333,0.0,4.87791666667,10.0,8.82083333333
4,Léon,neg,0.0,5.73583333333,2.0,4.26416666667,8.0,8.11041666667
5,Homais,neg,0.0,5.08875,1.0,4.91125,9.0,9.25
6,MHomais,neg,0.0,5.27458333333,1.0,4.72541666667,9.0,8.3875
7,Lheureux,pos,1.0,4.98,0.0,5.02,9.0,9.0
8,Félicité,neg,0.0,5.24,1.0,4.76,9.0,9.15
9,Justin,neutral,0.0,5.045,0.0,4.955,10.0,9.5
10,Lefrançois,pos,1.0,4.585125,0.0,5.414875,9.0,8.52375
11,Rouault,pos,1.0,4.29916666667,0.0,5.70083333333,9.0,7.62833333333
12,Binet,neg,0.0,5.04958333333,1.0,4.95041666667,9.0,8.34833333333
13,Hippolyte,pos,3.0,4.8875,1.0,5.1125,6.0,6.98333333333
14,MLheureux,neutral,0.0,5.0796875,0.0,4.9203125,10.0,8.17291666667
15,Tuvache,neutral,0.0,5.07875,0.0,4.92125,10.0,8.20833333333
16,Berthe,pos,1.0,4.75,0.0,5.25,9.0,8.55
17,MBovary,pos,1.0,4.70104166667,0.0,5.29895833333,9.0,7.86875
18,Lion,neutral,0.0,2.092,0.0,1.908,4.0,3.505
19,Hivert,neutral,0.0,4.93,0.0,5.07,10.0,9.045
20,MLéon,pos,2.0,3.83916666667,1.0,5.16083333333,6.0,6.16666666667
21,Canivet,pos,1.0,3.127,0.0,3.873,6.0,4.88
22,Bournisien,neutral,0.0,3.787,0.0,4.213,8.0,7.32
23,Vinçart,neutral,0.0,2.88458333333,0.0,3.11541666667,6.0,5.29583333333
24,Rolet,neutral,0.0,3.8,0.0,4.2,8.0,6.81666666667
25,MCanivet,pos,1.0,2.19833333333,0.0,1.80166666667,3.0,2.71666666667
26,Suisse,pos,1.0,3.59083333333,0.0,4.40916666667,7.0,5.55
27,Napoléon,neutral,0.0,0.5375,0.0,0.4625,1.0,0.775
28,MGuillaumin,neutral,0.0,0.5,0.0,0.5,1.0,1.0
29,Lucie,pos,2.0,2.36791666667,0.0,3.63208333333,4.0,3.64166666667
30,Aveugle,neg,0.0,4.033,2.0,2.967,5.0,5.59
31,Athalie,neutral,0.0,0.97375,0.0,1.02625,2.0,1.9
32,Marquis,neutral,0.0,1.44,0.0,1.56,3.0,2.35
33,MDerozerays,neutral,0.0,2.4525,0.0,2.5475,5.0,4.8
34,MBoulanger,pos,3.0,2.275,0.0,2.725,2.0,3.175
35,MBinet,neutral,0.0,2.0875,0.0,1.9125,4.0,3.6
36,Argueil,neutral,0.0,2.3725,0.0,2.6275,5.0,4.43333333333
37,Vicomte,neutral,0.0,1.5,0.0,1.5,3.0,3.0
38,MTuvache,neutral,0.0,1.0,0.0,1.0,2.0,2.0
39,Artémise,neutral,0.0,1.48833333333,0.0,1.51166666667,3.0,2.96666666667
40,Andervilliers,neutral,0.0,3.1755,0.0,2.8245,6.0,4.875
41,Théodore,neutral,0.0,0.94,0.0,1.06,2.0,1.9
42,Tellier,neutral,0.0,0.995,0.0,1.005,2.0,2.0
43,Lempereur,neutral,0.0,1.5,0.0,1.5,3.0,3.0
44,Langlois,neutral,0.0,1.735,0.0,2.265,4.0,3.6
45,Lagardy,neutral,0.0,0.85,0.0,1.15,2.0,1.55
