,Character,Label,Prediction,Score,Title_score,Title_in_name,Adj_score,Pron_score,Art_score
0,Nana,f,f,32.0,0.0,0.0,0.0240202275601,-0.0063211125158,0.00758533501896
1,Muffat,m,m,-14.0,0.00408163265306,0.0,0.0204081632653,-0.0857142857143,0.0
2,Fauchery,m,m,-63.0,-0.00854700854701,0.0,-0.0598290598291,-0.192307692308,0.0
3,Zoé,f,f,62.0,0.0326797385621,0.0,-0.0130718954248,0.333333333333,0.00653594771242
4,Bordenave,m,f,6.0,-0.00671140939597,0.0,0.127516778523,-0.0738255033557,0.0
5,Georges,m,m,-5.0,-0.0205479452055,0.0,-0.013698630137,0.0205479452055,0.0
6,Vandeuvres,m,m,-38.0,0.0,0.0,-0.0869565217391,-0.188405797101,0.0
7,Satin,f,f,44.0,0.0,0.0,-0.0161290322581,0.370967741935,0.0
8,Labordette,f,m,-43.0,0.0,0.0,-0.12389380531,-0.256637168142,0.0
9,Steiner,m,m,-10.0,-0.0178571428571,0.0,-0.0446428571429,-0.00892857142857,0.0
10,Fontan,m,f,5.0,-0.00917431192661,0.0,0.00917431192661,0.0550458715596,0.0
11,Rose,f,m,-21.0,0.0,0.0,-0.06,-0.15,0.0
12,Daguenet,m,m,-5.0,-0.0235294117647,0.0,-0.0352941176471,0.0235294117647,0.0
13,Lucy,f,m,-17.0,0.0,0.0,-0.0149253731343,-0.238805970149,0.0
14,Simonne,f,f,3.0,0.030303030303,0.0,-0.0454545454545,0.030303030303,0.0
15,Gaga,f,m,-5.0,0.0,0.0,0.0,-0.0892857142857,0.0
16,Philippe,m,m,-4.0,0.0,0.0,0.0,-0.0727272727273,0.0
17,Clarisse,f,m,-5.0,0.0,0.0,0.0188679245283,-0.11320754717,0.0
18,Lerat,f,f,95.0,0.979166666667,0.0,-0.0208333333333,0.0416666666667,0.0
19,Blanche,f,f,14.0,0.106382978723,0.0,0.0851063829787,0.0,0.0
20,Prullière,m,m,-3.0,0.0,0.0,-0.0222222222222,-0.0444444444444,0.0
21,Bosc,m,m,-5.0,-0.05,0.0,0.0,-0.025,0.0
22,Sabine,f,,0.0,0.0,0.0,0.0,0.0,0.0
23,RoseMignon,f,m,-2.0,0.0,0.0,0.0540540540541,-0.108108108108,0.0
24,Foucarmont,m,m,-1.0,0.0,0.0,0.0,-0.0285714285714,0.0
25,Maloir,f,f,67.0,0.969696969697,0.0,0.0,0.0909090909091,0.0
26,Louiset,f,f,1.0,0.0,0.0,0.0,0.030303030303,0.0
27,Estelle,f,f,2.0,0.0384615384615,0.0,0.0,0.0,0.0
28,MariaBlond,f,,0.0,0.0,0.0,0.0,0.0,0.0
29,CarolineHéquet,f,,0.0,0.0,0.0,0.0,0.0,0.0
30,Caroline,f,,0.0,0.0,0.0,0.0,0.0,0.0
31,Bismarck,m,,0.0,0.0,0.0,0.0,0.0,0.0
32,TatanNéné,f,,0.0,0.0,0.0,0.0,0.0,0.0
33,MVenot,m,m,-63.0,0.0,-1.0,0.0,0.0,0.0
34,Francis,m,,0.0,0.0,0.0,0.0,0.0,0.0
35,DuJoncquoy,f,f,40.0,0.952380952381,0.0,0.0,0.0,0.0
36,Zizi,m,,0.0,0.0,0.0,0.0,0.0,0.0
37,Chantereau,f,f,38.0,1.0,0.0,0.0,0.0,0.0
38,Bron,f,f,38.0,1.0,0.0,0.0,0.0,0.0
39,Robert,f,f,36.0,1.0,0.0,0.0,0.0,0.0
40,François,m,,0.0,0.0,0.0,0.0,0.0,0.0
41,Barillot,m,m,-8.0,-0.222222222222,0.0,0.0,0.0,0.0
42,ValerioII,m,,0.0,0.0,0.0,0.0,0.0,0.0
43,Vulcain,m,,0.0,0.0,0.0,0.0,0.0,0.0
44,Spirit,m,,0.0,0.0,0.0,0.0,0.0,0.0
45,Charles,m,,0.0,0.0,0.0,0.0,0.0,0.0
46,Mars,m,f,2.0,0.0833333333333,0.0,0.0,0.0,0.0
47,LouiseViolaine,f,,0.0,0.0,0.0,0.0,0.0,0.0
48,Hector,m,,0.0,0.0,0.0,0.0,0.0,0.0
49,Géraldine,f,,0.0,0.0,0.0,0.0,0.0,0.0
50,Mimi,m,,0.0,0.0,0.0,0.0,0.0,0.0
51,Léonide,f,,0.0,0.0,0.0,0.0,0.0,0.0
52,Julien,m,f,2.0,0.1,0.0,0.0,0.0,0.0
53,Bijou,m,,0.0,0.0,0.0,0.0,0.0,0.0
54,Jules,m,f,18.0,1.0,0.0,0.0,0.0,0.0
55,Maréchal,m,,0.0,0.0,0.0,0.0,0.0,0.0
56,Lili,f,,0.0,0.0,0.0,0.0,0.0,0.0
57,Henri,m,,0.0,0.0,0.0,0.0,0.0,0.0
58,Cossard,m,m,-6.0,-0.428571428571,0.0,0.0,0.0,0.0
59,Tardiveau,m,,0.0,0.0,0.0,0.0,0.0,0.0
60,Price,m,,0.0,0.0,0.0,0.0,0.0,0.0
61,Hasard,m,,0.0,0.0,0.0,0.0,0.0,0.0
62,Cosinus,m,,0.0,0.0,0.0,0.0,0.0,0.0
63,Paul,m,m,-4.0,-0.4,0.0,0.0,0.0,0.0
64,Gresham,m,,0.0,0.0,0.0,0.0,0.0,0.0
65,Auguste,m,,0.0,0.0,0.0,0.0,0.0,0.0
