,Character,Label,Prediction,Score,Title_score,Title_in_name,Adj_score,Pron_score,Art_score
0,Nana,f,f,40.0,0.0,0.0,0.022491349481,0.0207612456747,0.00865051903114
1,Muffat,m,m,-9.0,0.0,0.0,0.0,-0.0535714285714,0.0
2,Fauchery,m,m,-30.0,-0.0077519379845,0.0,-0.0697674418605,-0.147286821705,0.0
3,Zoé,f,f,49.0,0.0420168067227,0.0,-0.0252100840336,0.327731092437,0.00840336134454
4,Bordenave,m,f,2.0,-0.0208333333333,0.0,0.125,-0.0625,0.0
5,Georges,m,f,2.0,-0.0357142857143,0.0,-0.0119047619048,0.107142857143,0.0
6,Vandeuvres,m,m,-8.0,0.0,0.0,-0.0923076923077,-0.0307692307692,0.0
7,Satin,f,f,26.0,0.0,0.0,0.025641025641,0.307692307692,0.0
8,Labordette,f,m,-4.0,0.0,0.0,-0.051724137931,-0.0172413793103,0.0
9,Steiner,m,f,6.0,-0.0196078431373,0.0,0.078431372549,0.078431372549,0.0
10,Fontan,m,f,3.0,-0.015873015873,0.0,0.047619047619,0.031746031746,0.0
11,Rose,f,m,-6.0,0.0,0.0,-0.0178571428571,-0.0892857142857,0.0
12,Daguenet,m,m,-2.0,-0.025641025641,0.0,0.0,0.0,0.0
13,Lucy,f,m,-5.0,0.0,0.0,-0.0625,-0.09375,0.0
14,Simonne,f,f,4.0,0.0526315789474,0.0,0.0,0.0,0.0
15,Gaga,f,,0.0,0.0,0.0,-0.0333333333333,0.0333333333333,0.0
16,Philippe,m,f,2.0,0.0,0.0,0.0,0.0689655172414,0.0
17,Clarisse,f,,0.0,0.0,0.0,0.0,0.0,0.0
18,Lerat,f,f,58.0,0.965517241379,0.0,0.0344827586207,0.0344827586207,0.0
19,Blanche,f,f,8.0,0.210526315789,0.0,0.0,0.0,0.0
20,Prullière,m,,0.0,0.0,0.0,0.0,0.0,0.0
21,Bosc,m,m,-5.0,-0.04,0.0,-0.12,0.0,0.0
22,Sabine,f,,0.0,0.0,0.0,0.0,0.0,0.0
23,RoseMignon,f,,0.0,0.0,0.0,0.0,0.0,0.0
24,Foucarmont,m,,0.0,0.0,0.0,0.0,0.0,0.0
25,Maloir,f,f,40.0,0.952380952381,0.0,0.0,0.0,0.0
26,Louiset,f,,0.0,0.0,0.0,0.0,0.0,0.0
27,Estelle,f,f,2.0,0.0833333333333,0.0,0.0,0.0,0.0
28,MariaBlond,f,,0.0,0.0,0.0,0.0,0.0,0.0
29,CarolineHéquet,f,,0.0,0.0,0.0,0.0,0.0,0.0
30,Caroline,f,,0.0,0.0,0.0,0.0,0.0,0.0
31,Bismarck,m,,0.0,0.0,0.0,0.0,0.0,0.0
32,TatanNéné,f,,0.0,0.0,0.0,0.0,0.0,0.0
33,MVenot,m,m,-45.0,0.0,-1.0,0.0,0.0,0.0
34,Francis,m,,0.0,0.0,0.0,0.0,0.0,0.0
35,DuJoncquoy,f,f,20.0,1.0,0.0,0.0,0.0,0.0
36,Zizi,m,,0.0,0.0,0.0,0.0,0.0,0.0
37,Chantereau,f,f,26.0,1.0,0.0,0.0,0.0,0.0
38,Bron,f,f,28.0,1.0,0.0,0.0,0.0,0.0
39,Robert,f,f,12.0,1.0,0.0,0.0,0.0,0.0
40,François,m,,0.0,0.0,0.0,0.0,0.0,0.0
41,Barillot,m,m,-4.0,-0.166666666667,0.0,0.0,0.0,0.0
42,ValerioII,m,,0.0,0.0,0.0,0.0,0.0,0.0
43,Vulcain,m,,0.0,0.0,0.0,0.0,0.0,0.0
44,Spirit,m,,0.0,0.0,0.0,0.0,0.0,0.0
45,Charles,m,,0.0,0.0,0.0,0.0,0.0,0.0
46,Mars,m,f,2.0,0.1,0.0,0.0,0.0,0.0
47,LouiseViolaine,f,,0.0,0.0,0.0,0.0,0.0,0.0
48,Hector,m,,0.0,0.0,0.0,0.0,0.0,0.0
49,Géraldine,f,,0.0,0.0,0.0,0.0,0.0,0.0
50,Mimi,m,,0.0,0.0,0.0,0.0,0.0,0.0
51,Léonide,f,,0.0,0.0,0.0,0.0,0.0,0.0
52,Julien,m,f,2.0,0.166666666667,0.0,0.0,0.0,0.0
53,Bijou,m,,0.0,0.0,0.0,0.0,0.0,0.0
54,Jules,m,f,10.0,1.0,0.0,0.0,0.0,0.0
55,Maréchal,m,,0.0,0.0,0.0,0.0,0.0,0.0
56,Lili,f,,0.0,0.0,0.0,0.0,0.0,0.0
57,Henri,m,,0.0,0.0,0.0,0.0,0.0,0.0
58,Cossard,m,,0.0,0.0,0.0,0.0,0.0,0.0
59,Tardiveau,m,,0.0,0.0,0.0,0.0,0.0,0.0
60,Price,m,,0.0,0.0,0.0,0.0,0.0,0.0
61,Hasard,m,,0.0,0.0,0.0,0.0,0.0,0.0
62,Cosinus,m,,0.0,0.0,0.0,0.0,0.0,0.0
63,Paul,m,m,-4.0,-0.666666666667,0.0,0.0,0.0,0.0
64,Gresham,m,,0.0,0.0,0.0,0.0,0.0,0.0
65,Auguste,m,,0.0,0.0,0.0,0.0,0.0,0.0
